id_estacion,no2_ugm3,no2_max_ugm3,nox_ugm3,pm10_ugm3,pm10_max_ugm3,pm25_ugm3,pm25_max_ugm3,o3_ugm3,o3_max_ugm3,so2_ugm3,co_mgm3,benceno_ugm3,nh3_ugm3,ruido_db,trafico_indice,intensidad_trafico,pct_vehiculos_pesados,densidad_poblacion,dist_industria_km,dist_via_principal_m,superficie_verde_pct,temp_media_c,humedad_pct,viento_kmh,precipitacion_mm,radiacion_solar,altitud_m,num_dias_superacion,entorno
EST000013,49,142,61,22,70,16,55,66,147,5.6,0.55,0.1,0.5,66.6,80,22212,10.7,5908,5.9,323,21.2,20.6,77,19.9,571,519,479,26,costa
EST000014,59,214,80,41,97,22,7,43,105,6.2,1.59,2.74,0.8,59.8,99,55574,15.1,9479,0.1,5,4.2,15.7,47,17.2,690,463,722,47,costa
EST000015,50,177,99,50,134,36,23,28,75,31.9,1.29,2.76,6.8,72.9,50,47040,20.4,3903,1.8,16,27.1,18.0,76,20.2,325,369,0,61,costa
EST000016,47,166,106,70,119,28,5,33,90,44.0,1.49,3.39,8.1,69.0,77,30394,20.9,8501,0.1,5,0.0,23.3,73,19.2,216,339,0,93,costa
EST000017,54,280,118,42,109,36,12,28,94,0.0,1.48,2.11,4.5,90.0,100,57173,10.4,11189,2.3,160,0.8,18.5,34,33.4,698,429,211,22,interior
EST000018,10,121,58,24,59,28,58,80,130,16.0,0.75,1.59,0.5,65.5,45,23392,10.6,1641,5.6,369,0.2,20.5,62,12.8,595,750,285,35,costa
EST000019,3,40,20,13,13,7,8,111,166,7.3,0.15,1.14,21.6,45.1,0,8875,0.0,1547,12.8,1322,47.8,12.9,56,9.4,120,495,0,40,costa
EST000020,8,56,33,22,10,13,5,91,195,12.2,0.13,2.04,19.1,40.2,3,4213,0.0,20,16.0,623,58.4,15.4,75,13.8,209,453,269,17,costa
EST000021,72,235,101,28,138,26,7,14,94,1.4,1.37,2.86,4.2,60.9,100,51163,3.7,8314,16.8,5,0.0,17.6,40,22.5,891,594,581,7,costa
EST000022,2,33,3,19,10,6,16,96,188,0.0,0.35,0.1,20.5,38.7,0,7389,10.2,2389,16.4,758,49.2,14.3,63,9.0,120,324,304,42,interior
EST000023,69,192,93,48,105,32,43,35,101,8.8,1.13,1.36,0.5,67.6,82,51042,16.3,8905,2.8,5,2.6,24.5,20,19.7,952,241,514,58,costa
EST000024,45,108,60,31,117,12,51,72,135,15.1,0.83,1.2,0.5,58.8,45,38880,16.4,5048,7.1,224,0.5,23.4,83,22.0,657,439,305,34,costa
EST000025,42,190,108,69,115,34,39,33,31,40.1,1.22,2.6,10.1,62.2,36,32647,24.3,4435,0.1,287,5.4,22.3,71,9.1,417,378,0,60,interior
EST000026,72,301,150,47,116,30,5,30,91,3.2,0.93,3.04,10.3,72.2,79,48150,12.7,7398,8.5,5,0.0,20.1,49,19.5,1077,460,504,50,interior
EST000027,30,122,75,35,104,34,5,26,61,39.9,1.22,3.29,17.0,76.1,54,6951,23.4,10425,0.1,247,23.2,17.9,66,12.0,593,393,0,58,interior
EST000028,6,29,3,11,36,2,22,91,177,0.6,0.67,0.1,18.8,36.2,0,100,4.6,20,19.6,837,47.1,13.4,69,16.2,120,291,408,21,costa
EST000029,38,153,50,49,79,24,70,60,137,3.7,1.11,1.87,0.5,67.2,38,31762,3.1,11252,5.5,658,32.3,21.6,94,22.5,672,486,443,62,interior
EST000030,31,100,105,27,95,22,71,73,135,7.5,0.68,1.14,2.5,72.1,25,21786,18.5,7350,4.5,206,24.5,17.9,64,18.0,654,354,0,35,costa
EST000031,2,51,18,22,78,4,10,97,187,2.0,0.1,0.1,19.1,35.0,7,7623,1.4,251,2.4,736,48.2,17.6,64,9.3,575,390,808,21,interior
EST000032,44,150,75,47,116,30,21,40,34,44.4,1.07,4.47,14.3,74.3,62,23931,22.4,2337,0.1,539,18.5,18.4,81,6.5,589,414,9,34,costa
EST000033,53,181,152,31,86,27,21,29,57,6.7,0.89,3.36,0.5,77.2,98,52183,7.9,9791,9.8,87,3.7,15.5,28,25.5,685,408,991,34,interior
EST000034,2,153,3,11,18,10,30,110,124,1.0,0.37,2.02,25.7,49.4,0,100,3.4,878,14.6,465,62.8,16.9,54,5.6,159,406,522,54,costa
EST000035,48,155,70,53,112,42,22,50,53,26.7,0.91,2.53,11.7,63.9,76,27848,20.0,4743,0.1,59,16.9,21.0,82,15.8,120,325,0,62,interior
EST000036,24,13,11,23,25,9,20,106,202,5.6,0.1,1.64,13.5,46.3,0,20611,0.0,1974,11.0,1053,19.7,11.8,67,11.7,561,284,245,0,costa
EST000037,55,117,27,38,41,22,58,51,140,12.2,1.11,0.82,0.5,53.1,69,36450,1.7,6637,4.0,220,0.0,21.5,67,21.4,868,471,49,71,costa
EST000038,68,262,128,45,70,37,17,35,84,15.3,1.4,2.95,5.7,75.6,77,48683,17.6,4458,3.7,242,0.0,19.5,47,26.0,855,352,831,46,interior
EST000039,78,287,147,37,64,28,5,18,85,6.7,1.23,3.08,0.5,77.9,89,27472,11.6,6102,15.0,5,19.5,18.2,26,21.5,951,431,820,31,costa
EST000040,67,115,105,37,54,27,5,27,118,4.7,1.62,2.62,3.1,89.0,78,61562,12.9,8212,6.8,5,0.0,16.5,25,16.6,816,160,1041,64,interior
EST000041,33,214,104,51,132,36,16,36,100,31.0,0.69,3.62,18.9,69.8,87,41629,26.5,5200,0.1,5,14.4,14.2,47,11.7,290,408,0,48,interior
EST000042,44,160,121,35,116,35,5,21,105,0.0,1.11,1.69,13.3,68.4,88,38934,18.8,8728,12.1,5,0.8,14.4,52,15.6,688,471,263,40,interior
EST000043,23,179,59,21,102,16,48,67,101,11.4,1.05,2.02,2.6,59.2,52,18820,15.9,4839,10.5,512,26.8,18.5,49,19.9,1107,489,377,15,costa
EST000044,44,104,119,51,167,31,5,44,83,41.7,1.38,2.68,8.0,76.5,46,26064,21.4,6270,0.1,203,7.9,20.7,68,14.7,497,356,0,75,interior
EST000045,64,125,89,65,76,29,12,29,23,38.1,0.36,3.46,13.4,87.8,39,25653,21.2,5933,0.1,5,9.8,14.7,74,14.7,599,393,0,57,interior
EST000046,51,206,93,56,105,40,27,24,101,29.0,1.13,3.22,1.1,75.8,70,15598,26.2,6656,0.1,5,19.1,20.2,61,11.5,509,424,0,26,costa
EST000047,7,49,42,20,46,2,36,103,183,4.2,0.1,0.1,17.0,35.0,0,13888,1.3,20,10.6,863,58.2,20.7,73,7.0,223,398,0,26,interior
EST000048,63,182,123,53,87,31,38,36,31,37.6,0.82,2.59,13.4,52.2,73,10211,17.6,3263,0.5,328,3.4,16.0,58,13.4,555,406,0,46,costa
EST000049,74,212,104,40,81,35,5,64,85,3.3,1.57,1.99,14.2,83.0,68,31330,14.4,8614,13.7,5,3.0,21.4,33,27.6,977,501,690,74,interior
EST000050,38,152,89,58,139,36,15,40,63,37.3,1.08,2.65,15.9,71.2,44,36398,24.4,7193,0.1,5,10.2,22.8,64,12.9,402,287,1,34,interior
EST000051,2,79,55,11,23,7,31,99,173,4.1,0.27,1.15,15.3,35.0,0,1601,4.8,1542,11.6,1430,44.7,16.6,75,7.4,284,405,0,20,interior
EST000052,2,48,3,15,25,5,5,101,202,3.4,0.57,0.1,17.6,35.0,0,15956,8.6,20,8.1,961,37.2,15.6,50,13.1,120,436,662,36,interior
EST000053,35,194,81,20,63,21,63,90,155,16.0,0.7,1.62,5.8,74.3,51,23542,12.0,3317,8.6,400,19.1,21.3,82,17.2,604,520,166,28,costa
EST000054,25,180,109,48,66,29,38,15,81,25.0,1.54,5.23,12.5,72.6,58,31034,26.8,4983,5.3,229,4.0,11.0,59,11.7,184,439,0,79,costa
EST000055,50,131,27,54,90,26,63,70,132,0.2,1.15,1.21,1.2,62.8,55,22236,15.2,5379,4.4,776,25.1,22.4,78,6.5,457,499,154,34,interior
EST000056,14,67,13,19,49,8,18,87,116,0.0,0.1,0.76,19.8,35.9,9,18745,1.1,20,7.9,981,45.2,13.7,70,13.8,207,364,460,21,interior
EST000057,77,264,149,42,118,21,53,33,85,8.5,1.78,3.57,3.8,90.0,100,62295,17.0,7660,10.7,5,6.2,19.1,23,25.8,803,582,753,80,interior
EST000058,2,51,5,13,38,18,7,112,205,0.9,0.24,0.1,23.8,46.6,16,100,11.5,490,10.5,687,52.5,14.3,66,5.4,375,397,370,37,interior
EST000059,26,104,65,39,90,27,68,59,106,9.9,1.11,1.34,0.5,60.7,62,6150,8.0,3875,2.3,186,27.8,27.2,76,21.4,621,209,178,43,costa
EST000060,51,247,109,47,123,23,5,40,65,0.0,1.81,2.17,13.5,82.4,100,45012,13.1,10521,9.4,545,2.2,21.2,25,19.7,598,597,580,31,interior
EST000061,43,183,115,47,154,34,21,35,104,43.1,1.34,2.84,13.1,76.0,89,16762,29.8,966,0.1,5,4.5,12.3,49,15.2,443,529,0,45,interior
EST000062,72,217,136,46,83,35,21,23,75,7.5,1.59,1.53,0.5,80.2,100,52903,10.8,5646,12.5,5,2.1,22.0,40,21.7,858,580,731,59,costa
EST000063,2,70,28,3,19,14,41,74,231,0.0,0.93,0.45,23.3,48.2,2,100,0.0,20,7.5,676,43.8,15.1,73,9.7,475,402,380,42,costa
EST000064,52,111,55,20,82,24,57,68,182,10.4,0.68,1.69,0.5,59.3,78,1940,15.8,3004,3.3,449,27.2,21.5,65,18.3,715,556,288,21,interior
EST000065,86,157,64,34,79,26,5,34,69,0.0,1.55,3.32,5.4,87.1,97,39852,10.2,5975,17.7,5,13.7,25.7,51,28.7,669,307,421,0,costa
EST000066,40,207,71,37,99,32,5,22,69,41.1,1.02,3.12,10.6,57.1,68,26263,28.8,5551,2.7,635,0.0,14.2,57,19.3,707,452,0,65,costa
EST000067,11,164,11,35,93,25,58,88,173,0.0,0.7,1.83,10.6,65.6,38,32679,20.7,2581,14.9,761,17.0,22.4,76,18.0,746,421,491,40,interior
EST000068,69,133,62,26,93,20,59,70,119,0.0,0.76,2.09,3.5,63.4,28,11738,2.1,4833,7.3,47,38.7,20.6,58,14.2,728,472,79,51,interior
EST000069,49,156,53,46,96,30,64,72,180,2.1,0.48,1.05,2.9,68.3,35,11073,11.2,6831,5.0,256,24.2,24.2,49,21.8,524,502,97,26,costa
EST000070,21,136,39,36,66,22,82,67,125,4.2,0.43,2.06,2.7,58.2,77,27087,5.9,5362,14.2,864,37.0,19.4,74,18.4,622,366,364,22,interior
EST000071,2,10,24,8,57,2,25,105,177,9.0,0.64,0.1,16.8,43.5,17,14454,0.0,20,14.4,1209,37.2,14.9,79,8.4,120,150,217,17,interior
EST000072,57,221,180,65,70,30,25,36,59,4.1,1.83,1.55,0.6,69.6,97,64393,14.1,12000,16.1,5,12.3,22.7,45,28.6,1107,453,735,66,costa
EST000073,71,169,124,45,121,28,19,45,66,1.4,1.52,1.54,0.5,79.1,100,32613,14.3,8174,4.0,595,3.2,16.6,33,23.6,835,403,916,64,interior
EST000074,58,217,104,35,132,39,5,60,69,52.1,1.29,2.81,9.3,63.2,65,40782,18.8,2753,1.3,224,7.1,23.0,67,19.6,556,350,0,79,costa
EST000075,11,17,3,11,23,7,17,110,170,8.3,0.1,0.1,22.1,35.0,21,100,7.2,20,11.5,232,29.1,13.5,74,11.0,202,452,307,33,costa
EST000076,15,10,3,10,23,5,6,101,159,3.7,0.1,1.0,26.1,36.7,0,100,0.0,884,9.2,711,33.5,17.6,75,15.9,330,339,532,48,interior
EST000077,53,133,112,70,111,34,29,27,58,33.7,0.83,4.22,9.8,64.1,80,40787,17.7,3890,6.9,5,15.4,18.9,67,16.0,513,309,0,51,costa
EST000078,52,171,75,40,128,31,5,54,103,35.7,0.85,3.21,13.2,74.0,23,17150,30.3,3303,3.0,5,17.8,20.3,74,22.0,253,484,0,51,costa
EST000079,2,54,3,16,16,4,13,141,172,2.2,0.19,1.58,16.3,50.0,21,100,2.6,20,11.2,912,57.9,19.7,72,12.6,120,432,350,33,costa
EST000080,12,91,3,34,66,2,11,96,142,0.0,0.14,0.44,14.7,40.5,29,100,0.0,20,0.1,663,54.8,13.9,42,11.2,393,313,402,8,costa
EST000081,3,10,4,3,34,12,5,101,260,5.4,0.34,0.1,16.8,42.1,0,100,0.0,20,20.5,469,46.9,14.8,65,8.4,217,316,188,36,interior
EST000082,38,78,85,29,83,18,75,84,110,0.0,0.32,1.29,0.5,55.0,53,47478,15.6,6514,0.2,637,21.6,21.3,79,21.4,814,561,0,56,interior
EST000083,25,87,79,27,67,18,87,65,132,2.9,0.77,0.45,2.9,57.0,73,903,13.2,2281,10.0,405,32.8,21.0,56,14.9,1046,406,472,54,interior
EST000084,28,215,128,39,93,35,38,22,131,33.7,0.73,4.34,11.1,67.4,49,20660,19.8,2755,7.4,258,3.6,20.9,71,20.8,532,389,0,59,interior
EST000085,68,185,82,50,111,43,7,49,75,41.6,0.9,4.44,20.4,70.8,62,27539,22.2,4348,5.7,199,31.3,19.1,66,12.8,611,536,0,39,costa
EST000086,56,179,124,62,113,36,32,49,74,39.9,1.43,3.51,10.7,57.2,59,17014,29.3,1190,0.1,5,20.1,16.8,63,15.3,633,321,0,58,costa
EST000087,58,229,132,47,95,29,5,35,81,12.3,1.38,1.35,0.5,77.2,100,62383,9.4,8956,7.1,5,24.9,22.7,48,25.8,781,426,719,19,interior
EST000088,48,164,94,75,114,41,15,39,52,44.4,1.06,4.46,17.9,65.2,34,32278,26.1,3099,0.1,269,19.7,19.7,77,15.3,211,392,122,78,interior
EST000089,70,184,41,50,101,29,12,51,69,0.5,0.88,2.76,3.6,72.4,100,58995,11.4,7748,18.8,5,10.6,22.9,31,22.6,653,429,988,30,interior
EST000090,32,148,3,25,44,15,87,65,127,6.3,0.79,0.64,10.5,68.2,17,13574,10.9,3983,7.1,88,32.6,24.8,69,16.2,689,397,416,9,interior
EST000091,48,155,94,44,81,36,53,42,71,37.9,1.44,3.84,8.0,79.7,54,31381,21.0,8163,0.1,380,2.1,17.5,77,11.7,246,292,0,43,interior
EST000092,67,153,150,48,116,26,30,27,92,0.0,1.56,3.25,1.5,90.0,66,59684,19.1,7101,12.6,5,0.0,15.7,30,22.9,648,464,505,44,costa
EST000093,48,236,86,56,99,12,28,38,94,42.0,1.65,3.6,6.0,61.3,68,42172,24.8,6487,0.1,168,0.0,16.1,79,14.0,708,518,0,54,costa
EST000094,65,209,105,43,82,24,23,56,66,4.4,1.84,1.72,0.5,80.4,84,28155,19.2,9237,15.8,5,13.0,19.3,40,25.0,809,283,974,56,costa
EST000095,55,147,159,44,108,16,5,44,52,0.0,1.93,1.07,0.5,87.5,67,62372,17.3,6326,3.6,5,0.0,19.1,43,13.6,910,429,1055,65,interior
EST000096,57,208,107,49,81,35,25,32,76,27.8,1.47,3.24,8.2,55.5,55,32796,25.0,5890,0.1,44,0.0,16.4,52,15.5,161,670,0,70,interior
EST000097,49,127,139,35,119,42,23,45,56,24.0,0.96,4.6,12.3,63.5,63,27023,29.1,3676,0.1,565,10.3,19.1,81,19.2,655,446,0,72,interior
EST000098,72,197,112,56,76,23,45,24,71,3.6,1.38,2.83,0.5,74.0,100,64732,21.1,9383,1.4,5,15.8,12.1,34,23.2,953,455,683,46,interior
EST000099,46,161,112,52,158,30,44,26,68,41.1,1.09,3.43,2.4,78.0,87,100,23.8,4178,1.9,299,0.0,19.1,67,13.6,693,473,0,56,interior
EST000100,46,154,84,48,109,44,5,50,111,44.2,0.92,3.48,12.7,77.8,41,28065,17.1,4381,1.0,5,12.9,18.6,51,11.6,300,465,0,55,costa
EST000101,32,127,35,40,76,18,47,47,182,1.7,0.86,2.04,3.6,63.9,40,23696,10.2,2299,6.4,698,19.0,19.4,79,16.4,646,449,624,36,costa
EST000102,68,234,75,48,97,33,5,39,87,36.4,0.96,3.05,16.4,53.3,42,25560,15.6,3768,2.9,142,24.3,15.8,48,10.6,485,443,0,69,interior
EST000103,54,222,85,40,143,22,19,43,90,40.1,0.86,2.83,0.5,68.1,84,40222,28.9,5569,2.6,5,0.0,16.7,53,15.5,387,183,0,65,costa
EST000104,39,301,143,45,166,18,5,26,95,7.5,1.15,3.71,8.0,58.5,91,58739,21.4,11608,9.5,5,0.0,15.0,29,24.6,707,581,903,93,interior
EST000105,39,140,114,25,110,17,57,67,154,0.0,0.35,0.9,3.6,83.2,52,32408,7.4,5679,11.7,417,45.8,13.4,46,17.9,930,494,88,44,costa
EST000106,3,57,32,20,84,6,5,92,180,1.3,0.1,1.99,15.0,43.9,0,100,0.0,20,14.3,892,35.7,19.4,63,1.0,349,362,412,12,interior
EST000107,2,14,20,16,46,2,5,117,156,0.1,0.43,0.1,7.7,53.5,0,3892,5.3,20,2.9,1001,34.0,14.1,89,12.9,510,317,542,45,interior
EST000108,8,167,102,44,148,26,28,27,20,36.6,1.35,2.24,11.3,53.5,58,24111,25.3,20,5.5,5,0.0,17.1,76,19.5,552,296,0,48,interior
EST000109,78,179,137,42,116,31,5,17,81,4.9,1.98,2.99,4.4,88.2,100,57496,10.5,6976,10.6,21,0.6,15.2,28,19.1,777,277,616,45,interior
EST000110,53,216,132,34,101,24,11,27,21,0.0,1.67,1.09,2.5,62.9,100,25569,6.8,6798,4.5,5,0.9,24.2,51,20.4,1126,452,685,57,interior
EST000111,52,149,55,19,46,19,75,70,122,1.5,0.87,0.9,9.6,65.5,44,37379,9.3,5397,8.0,5,24.4,18.3,68,17.3,550,472,424,47,interior
EST000112,65,236,122,30,94,20,5,66,103,9.6,1.18,2.02,11.7,90.0,100,62352,6.4,6805,19.2,21,5.5,17.0,31,29.5,978,373,1066,41,interior
EST000113,33,134,71,29,109,14,53,72,133,0.0,0.88,1.36,1.2,58.7,53,26568,6.6,5695,10.1,5,36.0,23.4,76,17.4,543,544,574,21,interior
EST000114,46,179,139,55,86,28,37,23,67,30.0,1.17,2.63,18.6,75.6,28,35571,30.7,4277,0.1,463,29.4,21.4,76,16.1,529,536,0,27,interior
EST000115,24,37,3,6,30,7,14,106,189,0.0,0.22,0.88,19.7,36.8,10,100,0.0,20,13.2,777,53.4,13.3,54,6.3,251,290,0,33,interior
EST000116,37,83,78,34,47,18,49,86,127,9.8,0.38,0.45,7.5,54.8,30,8188,8.6,9919,21.8,517,34.7,23.1,76,24.3,1081,367,6,47,costa
EST000117,48,144,46,38,91,29,36,71,86,13.4,0.7,1.05,10.2,75.5,39,18253,9.7,4166,0.1,198,21.6,21.7,59,19.3,519,486,402,40,costa
EST000118,39,264,96,65,103,30,16,52,73,33.1,1.64,2.0,5.3,75.1,76,11678,19.5,2415,0.1,5,0.0,17.6,49,15.2,433,341,269,60,interior
EST000119,55,257,107,35,101,37,13,58,60,0.0,1.64,2.41,0.5,71.5,88,50690,13.8,11671,12.6,5,3.9,18.5,47,21.6,1014,484,598,36,interior
EST000120,2,15,23,3,19,2,17,112,243,12.8,0.23,1.36,18.6,35.0,0,100,0.0,20,19.4,929,46.5,17.5,55,1.1,351,222,2,45,costa
EST000121,53,179,77,56,146,38,9,35,79,34.2,1.19,2.91,1.4,60.7,23,18234,20.6,6404,2.5,5,0.0,16.4,58,17.2,559,396,0,75,costa
EST000122,9,51,11,14,29,8,26,124,201,0.0,0.1,0.29,16.2,42.5,0,100,4.0,20,6.9,1229,50.1,14.2,73,10.7,276,336,89,6,interior
EST000123,79,231,133,47,99,30,15,31,40,0.0,1.69,1.93,0.5,83.5,100,32246,21.6,10714,13.6,225,0.0,22.8,40,26.5,1033,396,1014,69,costa
EST000124,59,88,112,58,119,27,14,38,68,42.7,1.18,3.56,8.9,64.2,36,25271,17.1,5750,0.1,622,8.0,16.1,69,8.6,506,507,0,51,interior
EST000125,56,205,130,51,92,28,16,45,73,0.4,1.35,3.52,5.6,75.9,90,64422,18.6,10457,18.6,5,2.6,17.6,39,15.6,863,538,808,27,interior
EST000126,44,133,74,47,47,23,54,59,123,8.4,0.84,0.67,8.5,52.6,73,27526,6.4,3086,5.0,216,22.5,15.0,68,20.3,483,473,108,43,costa
EST000127,80,212,61,63,120,30,38,22,149,35.8,1.08,2.04,12.3,68.0,35,48395,22.1,4336,0.1,70,17.3,22.2,71,17.6,351,455,0,47,costa
EST000128,91,222,78,46,162,26,16,35,20,2.3,1.6,3.71,2.2,84.4,100,57454,6.8,10923,0.1,89,12.4,18.7,32,23.7,783,445,191,51,costa
EST000129,79,151,118,43,120,41,16,23,75,1.6,0.9,2.89,0.5,79.9,91,34051,6.6,11711,5.2,5,14.1,18.5,55,29.5,616,387,720,47,costa
EST000130,2,85,21,19,36,5,5,78,163,0.0,0.32,0.1,10.1,51.3,3,8249,1.9,20,20.0,1268,48.7,16.5,55,5.8,464,303,12,38,costa
EST000131,55,272,155,49,120,31,13,27,94,0.0,0.97,2.81,0.5,85.0,100,80000,15.3,6602,12.8,5,0.0,19.8,47,20.0,1101,476,586,33,costa
EST000132,4,128,51,44,55,24,71,51,203,2.8,0.69,1.88,5.6,55.0,42,40628,8.3,5847,10.6,243,31.1,22.4,68,17.3,762,380,402,14,interior
EST000133,51,172,118,37,122,35,37,18,103,36.2,1.41,1.73,11.0,78.6,99,15964,21.4,3667,0.1,408,1.1,14.7,72,13.2,610,509,0,62,interior
EST000134,3,10,38,22,10,5,5,120,179,8.6,0.36,0.1,23.3,56.3,0,4821,2.6,2997,13.8,299,37.5,17.0,63,5.1,526,413,145,41,interior
EST000135,9,65,3,3,20,4,19,96,203,2.7,0.1,0.94,21.0,45.4,12,100,0.0,1906,11.2,1105,41.5,15.2,44,7.3,720,348,170,40,costa
EST000136,37,80,27,36,80,22,76,69,129,12.9,0.81,1.54,0.5,62.8,56,17961,9.3,8410,1.9,534,23.9,19.1,95,18.2,755,548,178,14,interior
EST000137,56,127,115,59,132,41,5,26,91,35.6,0.99,2.61,12.8,75.2,9,100,26.2,3479,0.1,11,12.3,16.8,69,15.9,576,526,0,53,costa
EST000138,59,219,143,40,115,28,12,52,33,7.7,1.23,1.22,0.5,75.8,100,40430,20.4,4258,9.5,380,31.1,16.7,21,18.7,974,468,933,66,interior
EST000139,37,115,73,41,65,20,50,53,106,7.7,1.03,2.94,6.9,64.5,87,48847,1.8,2838,12.3,223,27.2,23.5,90,17.1,802,397,436,46,interior
EST000140,31,157,73,33,45,19,47,37,89,4.1,1.34,1.1,3.6,69.1,48,31521,4.4,2660,0.1,5,34.7,23.8,78,21.2,698,450,860,36,interior
EST000141,58,184,181,51,78,26,24,24,49,6.6,1.21,2.3,7.6,74.4,94,37466,12.4,4758,13.3,63,21.8,17.8,47,22.5,792,436,607,57,interior
EST000142,10,40,3,24,100,3,25,84,221,7.3,0.83,2.2,27.5,49.0,0,18658,1.9,20,10.3,365,35.2,15.4,64,13.1,397,520,734,22,interior
EST000143,71,215,101,37,53,34,5,18,81,10.3,1.39,2.33,5.3,81.7,100,37867,14.9,6361,10.5,314,2.6,20.4,33,21.8,828,303,213,23,interior
EST000144,41,198,117,41,101,36,36,49,65,34.3,0.97,4.9,7.8,55.2,72,13647,17.9,4344,0.1,307,11.3,15.1,71,16.7,524,609,281,47,interior
EST000145,50,117,120,61,104,27,5,32,65,39.9,0.93,4.03,2.6,68.4,69,31223,22.1,4984,0.1,5,4.7,16.3,72,20.4,215,310,0,47,costa
EST000146,22,153,56,44,63,18,51,85,128,9.2,0.81,0.65,0.9,58.5,88,28442,9.7,7927,0.1,5,24.9,24.1,49,17.1,864,537,206,28,costa
EST000147,59,208,72,58,156,39,48,33,92,41.8,1.37,1.58,1.7,66.2,96,15741,18.7,24,1.8,266,0.0,16.0,53,14.0,535,441,0,47,interior
EST000148,43,49,36,29,81,13,70,74,111,10.6,0.32,1.92,14.2,48.9,85,27142,9.9,6828,2.2,809,20.4,24.3,65,19.9,653,549,0,42,interior
EST000149,50,111,3,20,117,27,93,85,121,13.8,0.51,1.89,5.1,68.2,42,16289,10.4,3952,13.3,545,12.9,20.7,69,10.0,323,581,20,35,interior
EST000150,10,75,3,6,38,15,5,92,191,0.0,0.13,1.27,19.4,39.4,0,100,4.9,688,17.3,1248,54.2,18.2,54,15.2,120,464,136,25,interior
EST000151,2,10,7,14,28,4,41,108,129,0.0,0.33,2.47,17.7,35.3,0,27592,3.8,20,10.8,1166,50.4,15.3,83,1.8,232,247,134,7,costa
EST000152,71,213,131,40,143,16,18,38,49,0.8,1.68,1.63,4.7,90.0,100,52351,20.1,9746,12.0,5,14.0,21.4,20,24.2,901,371,711,88,costa
EST000153,60,156,145,38,133,31,10,61,81,2.2,1.63,2.28,6.4,90.0,100,51107,17.9,7688,15.8,5,19.4,15.9,38,16.1,1400,489,532,61,interior
EST000154,83,227,118,50,101,22,15,32,77,2.4,1.42,2.76,3.1,77.4,100,59351,17.4,10476,9.5,440,0.7,17.9,20,18.8,1184,492,682,53,interior
EST000155,27,165,120,57,129,23,5,38,123,42.9,0.87,3.01,6.6,65.7,67,36702,11.5,3484,0.1,5,26.2,19.6,58,13.4,173,470,294,32,interior
EST000156,39,175,92,57,126,37,14,15,144,32.4,1.33,2.53,7.1,79.5,43,18680,18.6,1673,4.2,184,11.0,16.0,73,18.8,402,446,0,50,costa
