id_parcela,temp_media_c,temp_max_c,temp_min_c,humedad_pct,humedad_suelo_pct,precipitacion_mm,precipitacion_acum_30d_mm,horas_humectacion_foliar,ndvi,ndwi,indice_estres_hidrico,dias_desde_tratamiento,num_tratamientos_campana,densidad_plantas_m2,ph_suelo,materia_organica_pct,nitrogeno_ppm,conductividad_suelo,altitud_m,pendiente_pct,dist_foco_plaga_km,trampas_capturas_num,grados_dia_acumulados,indice_presion_plaga,cobertura_vegetal_pct,edad_cultivo_dias,tipo_cultivo,sistema_riego,uso_fitosanitario,variedad_resistente,manejo,perdida_cosecha
CSC000023,23.4,28.6,12.2,63,26.0,17,71,11.8,0.55,0.29,0.2,35,2,168,6.7,2.6,23,1.14,454,26.7,26.7,21,516,23,39,117,maiz,aspersion,si,no,integrado,0
CSC000024,20.0,23.7,9.8,55,24.7,16,0,0.0,0.49,0.39,0.45,18,1,189,7.5,1.1,24,0.94,324,9.0,7.4,27,1201,31,70,128,olivo,goteo,no,no,convencional,0
CSC000025,11.0,22.7,20.3,47,22.2,21,74,9.3,0.63,0.18,0.15,24,3,219,7.0,2.8,22,0.21,115,6.5,9.9,0,1018,19,72,73,maiz,aspersion,si,no,integrado,0
CSC000026,15.3,32.8,22.9,63,29.6,25,120,8.5,0.54,-0.09,0.17,23,4,122,6.2,2.5,14,0.6,551,0.5,17.7,14,451,24,98,144,maiz,goteo,no,no,ecologico,0
CSC000027,17.1,31.0,8.6,60,11.0,74,4,9.6,0.73,0.06,0.39,20,4,199,6.8,1.1,16,0.59,818,0.0,3.1,0,1074,18,78,145,citricos,secano,si,no,convencional,0
CSC000028,19.9,18.5,1.3,78,27.2,3,112,9.9,0.68,0.21,0.34,31,5,153,6.6,2.3,13,0.1,531,3.7,27.2,34,1140,63,63,104,maiz,aspersion,si,no,convencional,0
CSC000029,19.9,26.1,10.2,80,10.3,64,25,1.0,0.64,0.24,0.01,0,5,126,6.1,1.6,23,0.48,102,11.6,20.6,3,873,36,61,23,maiz,secano,si,si,convencional,0
CSC000030,17.5,26.8,13.8,63,23.6,18,73,7.0,0.76,0.4,0.55,18,3,185,6.0,2.5,24,0.25,275,12.6,18.8,9,906,28,85,114,citricos,secano,si,si,convencional,0
CSC000031,15.2,22.6,22.7,73,36.8,71,49,11.4,0.41,0.09,0.23,6,2,195,6.2,3.4,2,0.61,111,1.6,0.2,16,595,33,89,52,trigo,goteo,no,no,convencional,0
CSC000032,17.8,22.5,15.6,66,18.2,30,55,6.3,0.67,0.15,0.4,1,0,179,6.7,2.9,20,0.1,381,0.3,10.9,14,718,39,71,40,horticola,secano,si,no,convencional,0
CSC000033,23.5,29.2,10.2,73,26.2,52,70,2.3,0.72,0.15,0.56,22,6,200,7.4,2.6,20,1.23,572,20.8,0.2,0,558,64,71,5,vid,goteo,no,si,convencional,0
CSC000034,18.4,39.8,8.5,76,22.8,44,178,1.1,0.65,-0.06,0.2,22,3,182,5.6,2.0,31,1.63,514,17.8,15.5,30,480,23,81,67,horticola,aspersion,no,no,convencional,0
CSC000035,16.8,28.8,12.5,66,26.3,23,35,4.9,0.61,0.23,0.23,38,3,252,6.8,1.1,22,1.55,84,5.7,13.1,0,636,75,79,52,olivo,aspersion,si,si,convencional,0
CSC000036,18.6,28.7,7.1,62,34.9,34,142,8.4,0.77,0.2,0.3,40,7,183,6.4,2.6,23,0.1,803,7.5,10.6,24,971,71,58,137,vid,goteo,no,si,convencional,0
CSC000037,26.5,29.0,12.1,65,21.3,75,0,8.8,0.72,0.5,0.63,6,4,173,7.2,3.2,33,0.1,307,0.0,21.8,2,960,27,72,8,maiz,secano,no,no,convencional,0
CSC000038,21.2,24.1,15.2,86,31.5,116,34,8.7,0.54,0.09,0.69,12,2,227,7.4,1.5,9,0.68,303,17.2,0.7,17,783,26,47,87,vid,aspersion,no,no,convencional,1
CSC000039,11.1,26.6,9.4,48,26.5,38,77,4.6,0.62,0.16,0.07,52,4,163,5.9,2.0,12,0.5,333,18.6,8.8,0,666,38,78,111,maiz,aspersion,si,si,convencional,0
CSC000040,24.1,22.0,14.5,41,22.6,10,0,8.3,0.67,0.45,0.17,28,4,189,6.9,3.9,29,1.25,424,4.8,12.9,43,1112,66,75,87,olivo,goteo,no,no,integrado,0
CSC000041,23.0,31.6,16.5,49,14.9,33,121,19.8,0.58,0.08,0.4,15,5,215,7.0,4.3,27,1.13,723,1.9,17.8,13,632,26,75,104,trigo,aspersion,si,no,integrado,0
CSC000042,19.4,26.6,17.4,81,26.4,71,29,8.5,0.77,0.17,0.18,31,5,204,6.2,3.5,4,0.31,777,5.6,14.7,29,1152,52,45,167,trigo,secano,no,no,convencional,0
CSC000043,15.8,23.2,13.0,70,26.4,38,113,8.3,0.72,0.34,0.31,0,3,108,6.4,1.6,10,0.94,474,3.3,0.2,17,1084,28,66,77,citricos,secano,no,no,convencional,0
CSC000044,20.7,33.3,17.9,72,31.8,58,154,0.0,0.86,0.12,0.39,17,3,174,7.6,2.8,28,0.74,517,6.7,2.4,11,1157,45,82,99,trigo,goteo,no,no,convencional,0
CSC000045,7.4,30.1,8.6,53,19.8,10,49,3.9,0.49,0.22,0.51,5,4,218,6.6,2.3,4,1.49,568,1.1,0.2,11,420,66,51,60,trigo,secano,si,no,ecologico,0
CSC000046,23.6,29.1,10.4,75,36.1,75,162,0.0,0.59,0.24,0.28,37,3,197,7.3,1.4,36,0.82,666,22.5,12.8,10,1148,46,75,144,citricos,secano,si,no,convencional,1
CSC000047,17.3,21.6,12.0,85,19.6,80,130,4.5,0.74,0.1,0.18,0,5,167,5.9,3.1,20,0.98,268,17.5,12.9,34,673,57,94,128,maiz,goteo,si,no,convencional,1
CSC000048,19.3,25.7,10.5,54,18.2,80,97,8.8,0.79,0.07,0.47,7,5,253,6.6,0.5,19,0.93,202,1.6,20.3,2,1080,16,90,58,olivo,secano,si,no,convencional,0
CSC000049,24.4,30.0,13.9,59,16.1,41,77,7.9,0.57,0.47,0.44,19,5,188,7.7,2.1,24,1.44,632,14.6,14.2,0,912,1,74,94,horticola,goteo,si,no,convencional,0
CSC000050,21.2,25.1,10.0,53,19.9,20,120,3.8,0.72,0.28,0.36,0,2,150,6.7,2.6,22,1.44,606,6.0,4.4,0,672,60,87,154,trigo,secano,no,no,convencional,0
CSC000051,18.8,25.1,11.3,80,21.6,73,52,12.3,0.57,0.3,0.14,12,5,214,7.8,1.5,30,0.95,208,9.1,14.3,26,955,43,80,141,horticola,goteo,si,si,convencional,1
CSC000052,15.7,35.8,13.3,62,19.7,77,168,1.4,0.63,0.02,0.27,27,2,176,6.0,2.8,20,0.49,390,7.3,1.7,11,902,29,87,109,trigo,secano,no,no,ecologico,0
CSC000053,23.0,22.3,12.8,80,26.6,0,48,8.0,0.43,-0.01,0.28,5,3,168,7.0,2.5,11,1.74,403,9.4,14.2,23,876,44,100,91,horticola,goteo,si,si,ecologico,1
CSC000054,17.2,26.5,16.3,62,33.5,98,46,8.1,0.63,0.32,0.0,37,5,182,5.8,0.8,11,0.1,460,2.6,0.2,33,831,57,100,65,citricos,secano,no,no,convencional,0
CSC000055,21.1,23.4,4.4,46,15.0,39,107,14.6,0.56,0.25,0.41,30,2,162,8.0,1.8,5,0.5,404,0.3,17.0,8,456,56,70,64,olivo,aspersion,si,si,convencional,0
CSC000056,18.2,28.9,8.7,91,35.7,63,62,0.0,0.57,0.31,0.15,22,1,209,6.9,0.8,16,1.03,738,8.2,13.3,22,633,38,72,84,horticola,secano,si,no,convencional,0
CSC000057,23.9,29.8,19.2,76,37.3,103,6,3.5,0.52,0.28,0.23,6,3,241,6.3,3.2,28,0.63,611,22.9,4.5,27,983,52,98,153,trigo,goteo,no,si,ecologico,0
CSC000058,18.6,32.0,16.9,58,22.6,102,5,11.7,0.55,0.23,0.44,17,4,142,6.3,2.8,12,0.98,456,3.5,15.4,34,799,36,75,142,maiz,aspersion,si,si,ecologico,0
CSC000059,27.1,40.4,13.6,42,19.2,31,216,7.4,0.63,0.09,0.33,66,4,184,5.4,3.4,25,0.1,459,9.9,0.2,31,1052,32,70,75,maiz,goteo,si,no,convencional,0
CSC000060,15.1,27.2,8.4,75,23.0,23,35,2.6,0.46,0.34,0.56,26,2,178,6.2,1.4,15,0.19,379,17.9,13.1,12,438,45,52,69,citricos,goteo,si,no,ecologico,0
CSC000061,20.4,32.3,17.2,55,8.6,34,9,5.9,0.54,0.21,0.5,0,2,240,6.7,2.5,33,0.26,650,15.0,2.8,8,824,25,72,100,trigo,aspersion,no,no,integrado,0
CSC000062,16.1,26.1,6.9,92,24.2,22,154,7.0,0.48,0.04,0.65,31,4,255,5.8,3.5,29,0.66,409,0.0,10.0,34,608,53,58,86,horticola,goteo,si,si,convencional,0
CSC000063,20.4,34.9,14.5,51,29.9,58,66,8.8,0.52,0.05,0.54,24,0,168,7.0,1.7,3,0.95,395,0.0,22.9,34,721,44,64,131,horticola,aspersion,si,si,ecologico,0
CSC000064,22.4,42.6,10.6,61,23.8,14,20,0.5,0.6,0.04,0.16,0,2,139,6.2,2.1,27,0.39,598,10.7,4.8,15,779,92,76,106,olivo,aspersion,si,si,integrado,0
CSC000065,17.9,26.8,12.2,67,30.4,0,49,7.7,0.56,0.4,0.13,45,4,214,6.0,3.2,9,2.18,485,13.4,17.1,32,889,58,77,149,horticola,aspersion,si,no,convencional,1
CSC000066,25.5,30.1,10.1,61,20.1,10,64,2.4,0.71,-0.05,0.1,9,2,179,7.3,4.6,28,1.55,225,5.6,12.0,13,1071,43,91,32,olivo,goteo,no,no,convencional,0
CSC000067,23.0,31.9,11.3,57,19.8,53,94,12.1,0.65,0.13,0.45,17,4,211,6.5,0.8,24,0.43,417,4.5,10.3,48,848,41,48,146,trigo,secano,no,si,integrado,0
CSC000068,23.4,25.1,11.7,85,27.6,29,176,10.8,0.58,0.15,0.31,71,4,187,6.7,3.1,23,0.59,543,14.7,13.9,46,631,47,31,118,citricos,goteo,si,si,convencional,1
CSC000069,18.6,29.1,16.2,64,22.5,58,66,4.8,0.55,0.01,0.4,8,3,224,6.8,2.5,14,0.98,333,2.4,0.2,40,1091,50,91,43,trigo,secano,no,no,convencional,0
CSC000070,19.5,28.2,12.5,84,32.0,38,116,0.7,0.58,0.04,0.42,25,5,179,7.4,3.2,29,0.75,518,10.6,0.2,0,560,37,74,151,maiz,aspersion,si,no,convencional,0
CSC000071,20.6,35.7,10.0,43,23.5,28,127,2.8,0.74,0.07,0.77,33,4,193,5.6,3.2,25,1.26,416,22.6,8.1,27,963,51,67,106,vid,secano,si,si,convencional,0
CSC000072,20.2,32.2,14.1,29,26.8,23,37,6.2,0.37,0.33,0.19,30,2,141,5.9,3.5,32,0.58,277,0.0,13.4,12,497,41,57,35,olivo,goteo,si,no,convencional,0
CSC000073,13.7,32.3,15.1,47,27.0,49,105,8.7,0.57,0.25,0.05,30,1,291,6.7,1.0,21,0.28,360,16.2,14.1,11,917,36,83,74,maiz,secano,no,no,convencional,0
CSC000074,14.5,30.4,9.0,69,17.8,48,112,6.5,0.56,0.08,0.26,16,2,110,7.0,1.0,32,0.49,570,10.2,11.1,23,1301,53,67,44,citricos,goteo,si,no,convencional,0
CSC000075,21.8,25.3,16.6,70,10.7,0,130,10.9,0.6,0.37,0.0,0,1,196,5.8,2.6,24,0.95,833,14.5,4.0,12,621,52,70,181,trigo,goteo,si,no,ecologico,0
CSC000076,16.8,20.8,16.6,75,17.3,107,172,0.0,0.52,0.29,0.49,8,2,255,6.5,1.9,11,0.81,289,23.4,21.2,11,875,36,77,96,horticola,secano,si,no,integrado,0
CSC000077,21.7,25.4,18.2,87,25.3,37,163,12.3,0.78,0.2,0.34,55,3,140,6.0,3.6,17,0.65,481,3.4,14.6,0,710,43,49,80,olivo,secano,no,no,convencional,0
CSC000078,20.3,35.0,6.0,93,25.8,32,118,12.4,0.4,0.14,0.43,8,5,220,6.1,2.0,27,1.25,0,0.0,6.2,24,1209,38,78,64,vid,goteo,si,no,ecologico,0
CSC000079,23.3,33.0,14.3,71,29.7,0,188,20.7,0.5,-0.13,0.13,41,2,145,6.4,2.7,23,0.49,152,7.7,1.8,21,831,25,61,22,horticola,goteo,si,no,ecologico,0
CSC000080,19.4,28.3,8.4,71,36.3,39,71,7.8,0.64,0.09,0.16,0,7,201,7.0,3.2,21,0.6,355,0.0,18.8,31,859,44,98,79,citricos,aspersion,no,si,convencional,0
CSC000081,16.0,33.5,12.6,63,13.2,4,69,8.5,0.77,0.1,0.31,31,9,163,6.5,3.3,22,2.13,495,15.1,16.9,0,664,26,78,75,trigo,goteo,no,no,ecologico,0
CSC000082,23.0,34.8,8.5,51,31.0,63,138,12.0,0.59,0.1,0.29,2,2,266,7.0,2.8,23,0.19,258,11.2,3.8,0,948,40,70,81,maiz,secano,no,no,ecologico,0
CSC000083,22.7,29.1,20.2,86,17.6,6,94,7.3,0.81,0.39,0.62,10,3,143,6.3,3.8,25,1.21,472,6.8,13.0,0,560,8,64,135,trigo,goteo,no,no,ecologico,0
CSC000084,18.8,26.2,8.3,90,31.3,39,0,0.0,0.59,0.31,0.21,36,4,192,5.9,0.8,21,1.66,39,15.6,11.2,21,752,13,86,54,maiz,goteo,no,no,ecologico,0
CSC000085,17.9,26.6,9.4,46,21.7,60,65,7.4,0.64,0.17,0.44,18,2,199,6.6,2.3,13,1.28,251,13.5,11.6,0,737,48,87,161,maiz,goteo,si,no,ecologico,0
CSC000086,24.4,30.1,19.7,80,31.2,83,30,14.8,0.7,0.17,0.41,0,1,242,6.5,0.8,14,0.12,470,10.5,16.7,50,650,39,71,10,olivo,secano,si,si,convencional,0
CSC000087,14.3,27.9,13.1,65,38.4,58,44,11.7,0.7,0.17,0.4,5,3,194,5.9,2.7,24,1.12,654,12.3,18.8,0,1049,56,92,68,maiz,goteo,si,no,ecologico,0
CSC000088,18.5,25.3,13.4,64,27.4,16,75,15.2,0.62,-0.04,0.42,35,5,191,5.9,2.8,25,0.61,841,7.4,7.5,7,739,56,58,116,vid,goteo,si,si,ecologico,1
CSC000089,19.3,25.5,8.7,64,24.8,40,74,10.6,0.61,0.45,0.78,27,0,204,7.5,3.3,30,0.99,73,8.5,2.0,34,542,28,76,113,olivo,goteo,si,no,convencional,0
CSC000090,19.0,22.9,20.6,52,30.7,57,138,16.9,0.49,0.46,0.17,42,2,214,7.2,2.7,28,1.55,543,17.3,29.3,0,899,30,66,5,olivo,aspersion,si,si,convencional,0
CSC000091,20.1,31.9,10.7,62,21.6,84,103,5.1,0.59,0.19,0.29,27,3,244,6.9,3.1,17,1.46,614,9.4,8.8,52,620,17,70,156,maiz,secano,si,si,integrado,0
CSC000092,21.5,28.7,9.6,51,23.8,63,82,8.2,0.61,0.17,0.56,8,3,126,6.6,1.8,19,0.2,353,8.7,15.5,7,846,23,88,78,trigo,goteo,si,no,convencional,0
CSC000093,15.5,21.1,15.5,61,29.1,75,60,17.3,0.55,0.2,0.29,48,4,169,6.3,2.2,23,0.83,387,5.2,23.0,10,488,31,50,89,olivo,goteo,si,si,convencional,0
CSC000094,16.9,25.1,14.4,51,37.6,29,55,11.8,0.53,0.16,0.26,1,2,189,6.6,3.7,21,0.65,0,8.4,24.6,0,672,0,49,54,horticola,secano,si,no,ecologico,0
CSC000095,21.3,16.6,13.1,59,9.9,14,130,10.3,0.72,0.28,0.32,4,7,201,6.2,2.7,31,0.59,470,5.4,8.7,7,862,70,61,121,trigo,goteo,si,no,convencional,0
CSC000096,21.1,25.7,14.9,59,17.4,101,115,11.4,0.84,0.4,0.36,25,1,187,7.0,3.9,29,1.08,471,13.3,19.1,27,1107,45,52,131,olivo,secano,no,si,integrado,0
CSC000097,19.4,24.7,5.7,51,13.7,51,69,8.6,0.52,-0.08,0.35,4,3,122,7.3,3.0,39,1.39,0,11.6,0.2,18,1105,57,95,45,olivo,goteo,no,si,integrado,0
CSC000098,16.4,34.8,8.0,45,32.7,68,97,7.8,0.68,0.04,0.37,24,3,171,6.8,2.3,23,0.53,175,8.9,0.2,12,751,9,90,110,trigo,goteo,si,no,ecologico,0
CSC000099,20.4,26.5,11.4,87,19.7,64,110,21.3,0.68,0.22,0.29,29,3,196,6.4,1.3,39,0.92,370,7.6,25.1,15,982,27,68,80,horticola,aspersion,si,no,convencional,0
CSC000100,20.0,18.4,12.7,64,31.7,19,107,7.3,0.58,0.26,0.17,23,2,163,5.9,3.9,30,0.8,152,3.7,16.5,8,1269,56,78,130,olivo,aspersion,no,no,ecologico,1
CSC000101,24.0,32.2,6.5,85,24.4,89,75,1.5,0.77,0.07,0.42,36,0,198,6.6,0.3,16,0.2,625,20.6,16.2,9,706,39,74,5,horticola,goteo,si,no,ecologico,1
CSC000102,19.7,27.5,11.5,83,26.4,46,115,15.8,0.62,0.1,0.61,13,4,206,6.2,1.3,23,0.37,279,12.7,7.0,28,753,49,72,5,olivo,goteo,no,no,integrado,0
CSC000103,20.9,32.3,13.5,64,25.1,29,138,6.9,0.54,0.08,0.22,41,3,128,6.2,2.9,42,1.14,531,4.8,0.2,10,821,36,58,54,maiz,secano,si,si,ecologico,0
CSC000104,25.9,27.2,12.3,46,12.8,65,149,9.1,0.7,0.04,0.52,7,6,219,6.1,2.4,11,0.85,688,11.8,16.1,17,785,38,45,102,vid,goteo,si,no,ecologico,0
CSC000105,28.5,24.1,7.1,54,22.4,93,169,1.2,0.56,0.37,0.37,0,2,196,5.9,1.9,12,1.39,621,4.4,6.1,18,481,15,57,17,vid,secano,si,si,integrado,0
CSC000106,19.7,25.0,13.4,53,36.7,68,0,11.2,0.78,0.24,0.03,35,8,152,5.9,2.3,23,0.9,512,9.3,0.2,16,679,34,61,53,horticola,aspersion,no,si,convencional,0
CSC000107,21.1,28.8,12.1,56,36.6,17,59,6.9,0.54,0.35,0.9,0,2,171,5.6,0.3,23,1.12,378,15.5,11.6,10,876,43,80,18,maiz,secano,si,si,ecologico,0
CSC000108,26.1,31.2,12.6,43,20.9,3,145,0.2,0.49,-0.07,0.29,31,0,220,6.5,3.0,20,0.74,620,18.8,13.3,27,696,39,75,36,citricos,secano,si,no,integrado,0
CSC000109,12.2,28.8,19.1,63,19.3,27,195,3.4,0.63,0.23,0.46,7,1,212,6.9,1.3,24,0.91,438,10.7,15.1,34,603,43,62,135,vid,aspersion,si,no,convencional,1
CSC000110,23.3,22.5,14.7,64,29.5,69,201,4.5,0.56,0.05,0.31,9,3,241,6.4,1.1,16,0.28,372,10.2,10.6,17,1044,0,86,25,vid,goteo,si,no,integrado,0
CSC000111,21.8,31.9,16.0,62,26.5,0,127,2.8,0.63,0.2,0.44,37,3,177,7.5,1.7,27,0.83,403,8.8,23.6,0,654,32,92,116,vid,goteo,si,si,convencional,0
CSC000112,22.5,32.0,13.7,66,17.3,38,84,9.9,0.75,0.14,0.38,9,1,185,7.5,2.5,21,0.73,406,4.1,13.4,0,759,58,72,164,maiz,goteo,no,si,convencional,0
CSC000113,16.8,29.8,11.8,82,13.2,76,57,8.2,0.7,0.26,0.36,34,4,189,6.6,2.7,19,0.53,235,7.2,34.8,25,1084,41,77,122,maiz,goteo,no,no,ecologico,0
CSC000114,21.3,27.0,5.4,62,26.8,98,40,10.9,0.53,0.33,0.5,62,1,145,7.4,2.1,9,1.31,172,0.0,23.0,29,840,47,73,181,trigo,aspersion,si,si,integrado,0
CSC000115,16.6,25.7,14.3,66,27.6,37,26,19.6,0.69,0.04,0.18,19,3,212,7.9,2.4,25,0.96,336,5.5,1.5,0,802,36,80,99,maiz,goteo,si,no,convencional,0
CSC000116,14.6,25.1,10.2,69,19.2,89,119,20.6,0.81,0.27,0.32,46,3,181,6.8,1.6,25,0.5,349,2.6,0.2,22,927,50,100,45,olivo,aspersion,si,no,integrado,0
CSC000117,23.6,31.2,7.1,76,40.1,84,0,8.8,0.58,0.21,0.36,0,3,218,5.8,3.6,12,1.15,473,7.0,19.7,0,901,43,80,78,olivo,aspersion,no,no,convencional,0
CSC000118,22.9,22.0,11.5,56,8.2,49,66,6.6,0.64,0.36,0.19,24,2,187,5.4,1.6,15,0.92,367,16.8,22.0,6,1215,31,67,78,olivo,secano,no,no,integrado,0
CSC000119,17.6,15.9,19.1,59,23.3,18,114,13.4,0.65,0.3,0.2,33,3,225,6.8,1.8,25,0.46,296,14.2,25.3,0,1252,61,62,62,trigo,secano,si,no,convencional,0
CSC000120,21.5,27.6,9.7,100,20.1,65,77,12.3,0.58,0.37,0.13,23,3,165,6.1,1.5,20,0.82,327,9.4,25.8,27,1321,13,71,86,trigo,secano,si,si,convencional,1
CSC000121,11.8,27.2,7.7,68,19.1,0,140,2.8,0.84,0.26,0.49,30,2,184,6.9,2.1,31,0.37,672,9.7,6.7,4,712,50,69,61,horticola,secano,si,si,integrado,0
CSC000122,21.5,33.6,2.3,56,20.4,71,104,7.3,0.46,0.25,0.39,20,2,179,6.8,3.1,5,1.55,628,8.5,13.9,32,555,31,79,112,olivo,goteo,si,no,ecologico,0
CSC000123,26.0,31.1,16.2,34,26.3,22,74,7.8,0.75,0.0,0.11,10,2,156,6.1,2.4,17,0.1,0,4.7,17.3,0,606,72,86,67,vid,goteo,si,si,convencional,0
CSC000124,22.2,19.9,14.0,65,29.1,70,67,11.1,0.48,0.74,0.2,23,2,162,5.7,2.4,17,1.01,334,24.0,12.9,21,682,48,96,38,trigo,secano,no,no,integrado,0
CSC000125,19.2,33.1,14.0,78,24.3,45,87,16.9,0.72,0.03,0.21,56,9,184,6.8,3.1,33,0.92,522,2.8,13.1,9,1050,67,79,133,olivo,secano,no,no,convencional,1
CSC000126,16.3,25.7,11.0,81,16.9,0,100,12.5,0.55,0.35,0.28,0,0,197,6.9,2.2,15,0.44,467,12.2,16.5,24,1430,51,73,76,trigo,goteo,si,si,integrado,0
CSC000127,17.3,23.1,9.7,98,7.6,120,95,7.6,0.43,0.21,0.7,18,4,160,6.6,1.7,25,0.91,259,9.4,10.3,29,1179,25,70,64,olivo,goteo,si,no,integrado,1
CSC000128,14.2,35.1,14.2,52,30.6,39,79,12.8,0.46,0.47,0.0,0,3,174,5.6,1.4,26,0.1,527,0.0,2.3,0,567,67,86,82,vid,secano,no,no,convencional,0
CSC000129,16.3,22.8,18.0,59,22.2,0,32,3.9,0.65,0.21,0.23,50,5,207,6.1,2.0,16,0.94,531,4.0,0.2,18,580,17,73,80,maiz,aspersion,si,no,convencional,0
