id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,peso_mg,longitud_antena_mm,num_segmentos_antena,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_ala_mm,envergadura_mm,num_manchas,diametro_mancha_mm,num_estrias_elitro,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,ratio_largo_ancho,ratio_antena_cuerpo,ratio_ala_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,densidad_setas,intensidad_color,especie_invasora
INV000046,13.07,7.44,7.73,3.77,3.33,5.22,101,10.38,10,10.5,4.37,4.4,22.35,52.43,15,0.99,8,1.99,1.27,2.31,1.69,0.794,1.71,78.8,263.7,28,217,0
INV000047,20.38,12.51,7.83,7.15,6.12,5.57,163,7.55,10,11.82,4.48,3.94,17.31,42.45,2,0.83,10,1.51,1.33,1.51,2.6,0.37,0.849,124.5,444.4,19,161,0
INV000048,13.75,8.68,7.01,4.29,2.46,4.31,151,7.88,11,8.65,3.47,5.3,9.74,26.49,9,0.97,12,1.86,0.46,1.89,1.96,0.573,0.708,75.2,207.7,12,159,0
INV000049,16.9,10.62,7.47,4.45,2.7,6.31,27,9.07,11,8.59,4.95,5.01,12.99,33.45,8,0.44,7,1.46,0.9,1.98,2.26,0.537,0.769,98.5,398.3,10,53,0
INV000050,17.98,11.06,2.79,5.3,4.84,3.19,248,10.17,12,8.86,5.13,3.01,13.45,29.69,6,1.04,12,0.99,1.11,2.08,6.44,0.566,0.748,39.1,80.0,21,192,0
INV000051,13.4,8.51,5.93,4.28,2.98,3.79,170,5.9,9,9.57,5.1,4.99,8.67,23.27,4,0.69,7,2.33,0.88,1.62,2.26,0.44,0.647,62.0,150.6,4,10,0
INV000052,16.94,10.66,8.87,6.07,4.72,3.78,192,11.06,11,9.98,5.35,5.77,17.46,43.79,10,0.78,9,1.74,0.9,2.47,1.91,0.653,1.031,117.2,284.0,19,204,0
INV000053,14.64,9.52,5.07,4.9,2.82,2.06,210,9.43,8,9.88,3.28,2.74,17.11,39.29,11,1.05,12,1.23,0.86,2.74,2.89,0.644,1.169,57.9,76.5,16,184,0
INV000054,23.24,14.54,6.33,4.5,3.35,3.93,10,9.87,9,5.42,3.08,2.39,13.29,32.91,9,0.52,8,1.65,0.78,1.61,3.67,0.425,0.572,114.7,289.1,8,103,0
INV000055,12.87,7.65,8.01,5.85,3.4,2.36,81,10.36,10,11.0,4.61,3.42,18.99,45.99,10,1.02,7,0.81,0.85,3.37,1.61,0.805,1.476,80.4,121.6,18,181,0
INV000056,15.18,9.52,6.51,3.76,2.86,2.42,139,10.25,10,9.88,3.95,3.44,12.94,32.39,9,1.27,8,1.49,1.05,1.71,2.33,0.675,0.852,77.1,119.6,18,193,0
INV000057,14.12,8.91,5.59,5.36,2.72,6.0,181,8.22,11,6.77,2.97,3.3,17.81,41.21,10,1.29,10,2.51,1.07,3.32,2.53,0.582,1.261,61.6,236.8,23,186,0
INV000058,13.93,8.61,6.94,3.38,3.23,3.94,214,11.93,7,7.98,3.79,1.32,18.72,44.38,11,0.92,10,1.6,0.96,2.31,2.01,0.856,1.344,75.4,190.4,26,249,0
INV000059,14.97,9.4,6.44,5.65,3.32,4.67,190,5.8,10,8.7,3.75,2.2,10.26,26.96,0,0.51,7,2.05,0.81,1.8,2.32,0.387,0.685,75.2,225.1,15,120,0
INV000060,15.6,9.66,8.4,6.49,3.9,5.6,140,10.99,8,10.33,4.78,5.56,12.04,32.48,8,0.92,8,1.72,1.22,1.6,1.86,0.704,0.772,102.2,366.9,20,170,1
INV000061,9.14,5.91,5.71,4.06,2.46,4.68,140,3.52,10,9.1,5.47,2.16,9.0,23.71,4,1.02,6,1.64,0.66,0.5,1.6,0.385,0.985,40.7,122.1,9,48,0
INV000062,14.56,9.16,6.36,5.15,2.48,4.75,22,11.58,11,9.64,4.74,3.05,13.41,33.18,5,0.6,10,1.11,1.05,1.88,2.29,0.795,0.921,72.2,219.9,11,142,0
INV000063,15.89,9.64,7.2,7.34,3.96,4.23,296,10.57,10,10.0,6.41,4.36,13.03,33.26,7,0.48,9,1.81,0.61,1.78,2.21,0.665,0.82,89.2,242.0,19,68,1
INV000064,12.61,7.6,6.95,5.52,3.8,4.71,145,6.88,10,5.75,2.54,4.22,11.64,30.23,6,0.62,7,2.09,0.84,0.82,1.81,0.546,0.923,68.4,206.4,1,27,0
INV000065,14.68,9.29,9.02,5.69,4.73,5.24,183,13.61,12,11.42,2.82,4.08,11.21,31.44,6,1.33,10,2.1,0.69,2.79,1.63,0.927,0.764,103.3,346.9,27,255,0
INV000066,10.76,6.34,5.92,4.95,1.88,2.88,108,8.44,10,5.2,1.14,2.93,11.75,29.42,3,0.77,11,1.64,0.85,2.11,1.82,0.784,1.092,49.7,91.7,6,168,0
INV000067,18.51,11.28,7.31,5.94,4.21,2.57,184,8.14,11,8.17,3.74,3.65,11.52,30.35,2,1.04,6,1.36,0.66,1.24,2.53,0.44,0.622,105.5,173.9,14,132,0
INV000068,26.65,16.03,9.92,7.02,5.75,5.45,360,12.85,10,14.23,4.89,5.0,17.91,45.74,6,1.15,12,2.55,0.71,1.64,2.69,0.482,0.672,206.2,720.4,15,176,1
INV000069,14.48,8.93,9.09,6.59,4.3,5.77,184,7.32,8,7.94,4.8,3.51,16.55,42.19,4,0.6,8,1.73,0.61,1.27,1.59,0.506,1.143,102.7,379.7,12,120,0
INV000070,19.75,11.86,6.96,5.37,3.78,3.24,142,8.96,12,10.52,4.11,3.47,13.85,34.66,6,0.64,10,1.69,0.9,1.71,2.84,0.454,0.701,107.2,222.7,8,168,0
INV000071,15.05,9.91,8.59,4.13,2.77,3.99,114,8.84,9,9.97,4.66,3.26,14.33,37.25,5,1.56,12,2.22,0.68,1.87,1.75,0.587,0.952,100.8,257.9,16,255,0
INV000072,12.15,7.22,6.76,4.56,3.0,5.0,79,9.89,8,7.06,2.34,3.34,18.48,43.72,6,1.21,11,1.79,1.19,2.98,1.8,0.814,1.521,64.1,205.3,14,130,0
INV000073,16.37,10.63,4.73,3.64,4.28,4.25,42,8.96,10,9.08,4.27,3.28,17.1,38.93,9,1.04,9,1.56,1.25,1.06,3.46,0.547,1.045,60.4,164.5,14,91,0
INV000074,18.81,11.73,6.99,6.63,2.99,4.18,158,4.47,9,9.95,4.49,5.1,15.14,37.27,7,0.79,10,1.69,0.55,0.61,2.69,0.238,0.805,102.6,274.8,12,78,0
INV000075,17.32,10.8,8.97,3.7,3.78,5.87,280,3.67,9,12.74,4.18,5.15,13.16,35.29,4,0.98,7,1.65,0.88,1.15,1.93,0.212,0.76,121.2,456.0,7,24,0
INV000076,7.29,4.4,4.45,3.0,1.19,2.08,14,3.73,9,3.79,2.49,2.07,10.4,25.25,5,0.19,7,0.7,0.87,0.93,1.64,0.512,1.427,25.3,33.7,9,87,0
INV000077,21.17,12.99,10.02,6.54,5.23,6.91,285,12.95,13,12.59,3.72,5.53,12.68,35.38,6,0.83,13,1.89,0.73,1.22,2.11,0.612,0.599,165.5,732.9,2,103,0
INV000078,20.71,13.1,4.91,3.83,2.04,1.1,26,11.92,10,8.6,3.81,2.29,15.05,35.01,4,0.96,8,1.18,0.85,1.79,4.22,0.576,0.727,79.3,55.9,22,162,0
INV000079,16.29,9.84,7.42,4.25,4.34,6.8,162,8.78,12,6.95,3.67,2.34,13.44,34.3,9,0.98,7,1.89,0.84,1.7,2.2,0.539,0.825,94.3,411.0,19,89,0
INV000080,11.21,6.74,5.12,2.33,2.66,1.0,79,6.78,10,4.0,2.62,1.72,10.8,26.72,2,0.9,8,0.98,1.25,2.17,2.19,0.605,0.963,44.8,28.7,3,53,0
INV000081,7.66,4.96,3.37,3.96,2.3,1.09,77,11.76,9,7.67,3.89,3.67,16.75,36.87,10,1.4,8,1.15,0.74,1.34,2.27,1.535,2.187,20.1,14.1,10,107,0
INV000082,12.26,7.74,6.94,5.91,4.05,4.18,237,7.91,9,9.66,3.54,3.61,11.25,29.44,6,0.89,9,1.01,1.13,1.92,1.77,0.645,0.918,66.4,177.8,11,166,0
INV000083,18.61,11.34,6.91,3.95,3.45,5.26,223,10.16,11,7.86,4.31,3.71,14.03,34.97,4,1.02,8,2.25,0.86,1.69,2.69,0.546,0.754,100.3,338.2,18,146,0
INV000084,17.92,11.44,4.94,3.89,2.16,2.78,105,7.8,9,5.22,2.93,4.08,12.91,30.76,5,0.0,9,1.47,0.49,1.87,3.63,0.435,0.72,69.0,123.0,12,80,0
INV000085,12.81,7.89,4.11,3.21,2.52,2.51,35,7.96,10,4.91,3.11,2.41,13.95,32.01,13,0.6,11,1.27,0.73,1.28,3.12,0.621,1.089,41.1,66.1,13,209,0
INV000086,18.38,11.31,7.38,3.78,2.3,4.24,55,11.84,10,8.52,3.62,1.83,20.49,48.36,12,1.93,14,1.55,0.82,2.21,2.49,0.644,1.115,105.8,287.6,32,161,0
INV000087,20.12,12.34,7.63,8.4,4.83,7.27,256,8.72,9,13.47,5.84,5.5,12.23,32.09,9,0.49,10,2.35,1.01,0.2,2.64,0.433,0.608,119.7,558.0,14,103,0
INV000088,12.37,6.99,6.95,3.35,2.76,6.38,208,9.82,10,9.65,3.5,3.85,14.76,36.47,3,0.93,9,1.75,0.83,1.79,1.78,0.794,1.193,67.1,274.2,21,158,0
INV000089,21.58,12.67,8.49,4.69,5.51,3.58,180,9.7,9,9.39,6.97,5.09,11.29,31.07,4,1.08,6,1.72,0.94,1.35,2.54,0.449,0.523,142.9,328.0,13,40,0
INV000090,21.15,12.88,5.18,7.44,4.46,3.62,118,3.82,10,10.1,6.99,4.14,9.12,23.42,5,0.76,10,2.12,0.56,1.31,4.08,0.181,0.431,85.5,198.3,13,101,0
INV000091,20.62,12.76,10.25,7.76,4.88,5.89,246,8.4,9,11.9,5.11,4.77,7.35,24.95,6,1.65,10,1.96,0.9,1.63,2.01,0.407,0.356,164.9,622.4,7,80,0
INV000092,18.14,11.02,6.01,3.45,2.85,4.8,180,7.3,10,13.0,3.72,4.22,15.74,37.49,4,0.92,12,1.31,0.67,1.81,3.02,0.402,0.868,85.0,261.7,16,121,1
INV000093,13.91,8.22,4.42,4.69,3.66,2.95,180,11.16,9,8.94,3.35,3.92,12.46,29.34,8,0.67,11,1.14,0.87,2.14,3.15,0.802,0.896,48.0,90.7,19,121,0
INV000094,6.98,4.01,4.41,4.78,2.34,3.79,57,6.54,8,10.42,4.4,2.02,10.67,25.75,6,0.41,7,1.34,1.25,2.32,1.58,0.937,1.529,24.0,58.3,8,47,0
INV000095,22.27,13.6,6.88,5.81,5.01,6.33,319,9.18,9,11.5,7.07,3.84,18.33,43.54,7,1.1,8,2.12,0.76,1.84,3.24,0.412,0.823,119.5,484.9,10,129,1
INV000096,15.06,9.04,9.11,6.43,3.81,5.48,230,6.65,9,11.04,4.03,3.58,11.39,31.89,6,0.65,8,2.39,1.16,1.1,1.65,0.442,0.756,107.0,375.9,2,71,0
INV000097,13.15,7.73,8.66,6.2,3.32,5.61,97,7.61,13,8.21,4.03,5.84,11.77,32.2,6,1.1,8,1.86,0.7,1.39,1.52,0.579,0.895,88.8,319.4,14,71,0
INV000098,16.9,10.29,8.24,6.09,3.45,6.2,199,5.16,9,10.76,5.65,5.17,9.18,26.6,1,0.4,5,2.24,1.0,0.88,2.05,0.305,0.543,108.6,431.7,2,41,0
INV000099,16.22,9.67,6.98,6.23,3.49,6.27,95,7.62,11,11.79,2.84,4.31,8.97,24.92,1,0.26,8,2.93,1.04,1.42,2.32,0.47,0.553,88.3,354.9,0,76,0
INV000100,20.4,12.85,6.36,4.3,3.25,5.43,153,6.35,10,10.94,5.67,3.48,8.75,23.86,5,0.64,8,1.65,1.11,1.47,3.21,0.311,0.429,101.2,352.3,9,154,0
INV000101,14.53,9.29,7.24,5.7,3.32,2.08,170,5.26,11,8.64,2.65,3.55,10.31,27.86,7,0.47,9,2.14,0.66,1.49,2.01,0.362,0.71,82.1,109.4,17,86,0
INV000102,14.31,9.46,6.1,3.61,1.11,3.58,65,8.96,10,6.87,2.59,2.15,13.39,32.88,4,0.61,11,1.32,0.82,1.48,2.35,0.626,0.936,68.1,156.3,12,125,0
INV000103,10.65,7.0,4.99,4.95,2.54,2.29,184,12.51,11,6.95,3.31,2.01,23.49,51.97,16,1.86,16,1.44,0.68,2.99,2.13,1.175,2.206,41.5,60.8,18,255,0
INV000104,17.45,10.88,6.91,4.03,2.06,3.22,134,12.65,8,11.65,2.72,3.03,20.46,47.83,16,1.48,12,1.95,0.99,2.27,2.53,0.725,1.172,94.1,194.1,29,255,0
INV000105,20.7,13.22,9.04,9.45,4.26,6.96,251,6.95,8,9.82,4.72,3.77,13.15,35.34,3,0.67,9,2.45,0.66,1.5,2.29,0.336,0.635,146.0,651.2,17,152,0
INV000106,14.28,9.01,6.53,6.64,3.87,4.94,140,5.84,9,8.2,4.99,5.15,10.31,27.15,3,0.25,9,2.06,0.88,1.21,2.19,0.409,0.722,72.7,230.3,7,151,0
INV000107,15.43,9.47,7.69,5.81,3.74,2.78,99,6.21,8,10.61,4.78,5.16,15.18,38.05,1,0.43,7,2.39,0.62,0.85,2.01,0.402,0.984,92.6,164.9,8,115,0
INV000108,14.55,9.09,6.1,4.46,3.61,5.65,64,9.17,9,6.92,3.47,2.08,8.93,23.96,5,1.01,10,1.58,0.71,1.81,2.39,0.63,0.614,69.2,250.7,10,150,0
INV000109,18.41,11.21,6.41,4.96,3.34,3.93,86,9.32,8,7.89,5.03,4.71,13.58,33.57,8,0.64,12,2.2,0.66,1.65,2.87,0.506,0.738,92.0,231.9,5,110,0
INV000110,19.43,12.34,7.25,5.37,5.75,5.22,338,6.37,10,12.27,5.26,4.44,8.87,24.99,7,1.07,9,2.36,1.0,1.48,2.68,0.328,0.457,109.9,367.7,15,63,0
INV000111,24.07,14.84,7.87,5.53,3.67,5.32,198,8.0,11,10.18,6.2,5.25,13.14,34.15,6,0.44,9,2.04,1.07,0.64,3.06,0.332,0.546,147.8,503.9,5,70,0
INV000112,17.45,11.01,7.59,4.61,4.23,4.91,92,10.63,8,9.53,3.54,4.68,15.04,37.67,5,1.21,10,1.94,0.58,1.19,2.3,0.609,0.862,103.3,325.2,23,105,0
INV000113,17.34,10.5,6.36,6.24,2.5,2.82,146,10.95,11,6.48,4.11,2.41,12.48,31.32,6,1.17,10,1.85,0.93,1.56,2.73,0.631,0.72,86.0,155.5,11,177,0
INV000114,23.39,14.55,8.05,5.24,3.99,3.49,172,7.54,10,7.78,3.04,4.73,12.97,33.99,0,1.03,7,1.67,0.78,2.15,2.91,0.322,0.555,146.9,328.6,7,55,0
INV000115,8.85,5.7,8.83,5.47,3.97,3.33,96,10.37,10,8.57,6.24,2.88,11.37,31.57,9,0.17,10,1.6,0.89,1.99,1.0,1.172,1.285,61.0,130.1,13,93,0
INV000116,14.69,8.84,9.49,7.77,3.68,6.46,215,11.45,8,9.34,4.45,5.49,12.79,35.07,6,1.1,12,2.06,0.73,2.02,1.55,0.779,0.871,108.7,450.3,16,179,0
INV000117,13.84,8.33,7.93,5.13,4.7,4.38,219,9.67,11,8.91,4.88,3.9,15.3,38.53,11,1.8,11,1.43,0.99,1.89,1.75,0.699,1.105,85.6,240.4,23,183,1
INV000118,17.68,11.25,9.69,7.14,3.57,4.93,185,9.38,11,11.06,4.9,3.98,11.05,31.79,7,1.28,10,1.7,0.94,1.78,1.82,0.531,0.625,133.6,422.3,9,94,0
INV000119,14.44,9.37,6.51,4.91,2.76,3.99,129,10.2,9,11.41,2.15,3.67,12.53,31.57,7,0.68,8,1.6,1.0,2.4,2.22,0.706,0.868,73.3,187.5,9,193,0
INV000120,17.22,10.54,6.67,5.29,2.49,4.29,198,7.01,11,5.42,3.54,2.66,11.11,28.89,8,1.13,8,1.42,0.87,1.75,2.58,0.407,0.645,89.6,246.4,19,53,0
INV000121,22.71,13.74,8.29,7.69,4.04,8.12,270,5.42,10,11.76,6.08,3.99,14.0,36.29,5,0.97,10,1.86,1.07,1.2,2.74,0.239,0.616,146.8,764.4,10,159,0
INV000122,16.59,10.85,6.44,4.69,2.53,4.92,151,7.9,11,9.67,3.6,2.38,14.47,35.38,9,1.08,6,2.07,1.18,2.51,2.58,0.476,0.872,83.3,262.8,14,154,0
INV000123,13.87,8.68,5.56,5.06,3.8,5.06,100,9.16,8,6.66,1.64,2.91,18.19,41.94,14,1.11,10,1.93,0.63,1.81,2.49,0.66,1.311,60.2,195.1,20,210,1
INV000124,17.9,11.38,7.29,5.51,2.56,3.22,93,6.57,9,8.9,4.09,3.52,9.62,26.53,3,0.02,6,1.93,0.99,1.95,2.46,0.367,0.537,101.8,210.1,14,100,0
INV000125,18.46,11.57,5.71,5.45,4.42,3.41,112,6.78,10,5.91,5.43,4.73,17.12,39.95,7,0.84,7,1.91,1.31,2.02,3.23,0.367,0.927,82.2,179.7,9,96,0
INV000126,10.65,6.36,8.55,5.47,3.15,5.73,182,6.98,11,7.29,5.36,3.98,11.77,32.09,1,1.12,9,1.9,0.34,0.77,1.25,0.655,1.105,71.0,260.9,16,62,0
INV000127,17.63,10.89,8.8,6.14,4.57,5.08,188,5.44,11,12.77,3.36,5.81,12.0,32.8,6,0.77,11,2.62,0.9,0.82,2.0,0.309,0.681,121.0,394.1,19,90,0
INV000128,12.0,7.3,6.91,3.22,2.24,1.53,10,7.85,8,5.35,1.15,2.65,12.95,32.81,6,1.0,7,1.61,0.6,1.33,1.74,0.654,1.079,64.7,63.4,12,182,0
INV000129,9.79,5.9,6.62,4.73,3.02,1.44,78,8.04,9,5.63,3.19,4.77,14.17,34.96,9,0.95,9,0.61,0.96,2.6,1.48,0.821,1.447,50.6,46.7,25,221,0
