id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,longitud_antena_mm,num_segmentos_antena,longitud_pata_anterior_mm,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_tarso_mm,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,num_estrias_elitro,num_puntos_pronoto,longitud_espolon_mm,peso_mg,ratio_largo_ancho,ratio_antena_cuerpo,ratio_pata_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,longitud_ala_mm,envergadura_mm,coloracion
ESP000011,10.5,6.2,4.55,3.52,2.61,2.22,5.17,7,7.03,9.59,4.65,3.38,1.92,1.38,1.06,1.21,9,53,1.07,11,2.31,0.492,0.913,37.3,53.0,6.96,18.47,marron
ESP000012,12.48,8.48,4.8,4.12,2.73,2.21,3.88,8,4.5,9.58,3.58,1.64,1.4,2.15,1.38,1.5,6,39,0.24,79,2.6,0.311,0.768,46.7,66.2,9.83,24.46,marron
ESP000013,12.55,7.75,4.32,3.57,2.66,2.77,3.76,9,3.68,4.47,3.42,2.1,2.1,2.0,0.76,1.08,6,41,0.51,102,2.91,0.3,0.356,42.3,75.1,6.36,17.04,marron
ESP000014,18.7,12.07,9.33,7.91,4.98,6.08,7.8,13,8.43,10.61,3.88,2.92,4.13,1.83,0.32,2.67,12,60,0.85,233,2.0,0.417,0.567,136.1,530.4,18.4,46.13,metalico
ESP000015,20.56,12.72,9.3,7.02,5.53,7.11,12.51,11,5.84,11.89,1.82,4.49,4.73,1.85,0.2,1.83,12,51,0.32,242,2.21,0.608,0.578,149.1,679.7,15.24,39.78,rojizo
ESP000016,20.13,12.81,9.05,7.51,4.88,7.33,11.12,11,7.51,12.87,2.45,6.1,5.62,1.98,0.44,2.38,10,61,1.35,248,2.22,0.552,0.639,142.1,667.7,17.42,43.89,marron
ESP000017,21.44,13.31,10.09,7.66,5.61,8.65,5.83,11,3.7,14.23,3.36,3.31,5.07,2.09,0.49,2.19,12,71,0.24,252,2.12,0.272,0.664,168.7,935.6,14.3,38.69,marron
ESP000018,10.67,6.8,3.89,3.13,2.1,1.22,4.46,8,5.06,6.62,6.49,5.61,2.46,2.1,1.13,0.56,8,44,0.76,48,2.74,0.418,0.62,32.4,25.3,8.4,20.69,negro
ESP000019,8.82,5.39,4.56,3.66,2.29,4.52,6.94,9,6.13,7.07,5.77,5.97,2.27,2.35,1.52,0.79,10,60,1.06,21,1.93,0.787,0.802,31.4,90.9,10.17,24.9,metalico
ESP000020,10.17,6.96,4.01,3.67,2.39,1.05,4.28,8,3.58,3.8,4.33,4.15,2.65,1.61,0.56,1.19,8,54,1.08,5,2.54,0.421,0.374,31.8,21.4,8.06,20.13,marron
ESP000021,9.19,6.17,3.61,2.65,2.24,1.69,5.83,7,2.38,4.29,5.4,4.68,1.52,2.77,1.03,1.35,9,47,0.9,24,2.55,0.634,0.467,25.9,28.0,6.91,17.43,negro
ESP000022,23.96,15.45,10.75,8.47,6.06,6.77,12.86,10,2.85,12.52,5.61,2.04,3.64,1.56,0.91,2.53,12,66,0.89,314,2.23,0.537,0.523,200.9,871.9,14.0,38.75,metalico
ESP000023,19.25,10.98,9.98,8.08,5.46,6.51,10.63,11,6.47,11.33,3.86,6.21,3.31,1.77,0.46,3.16,12,53,0.68,212,1.93,0.552,0.589,149.8,625.3,18.34,46.66,metalico
ESP000024,18.24,11.62,9.73,7.73,5.14,5.62,5.43,11,7.44,8.76,3.66,5.32,4.7,1.76,0.29,1.44,11,62,0.88,236,1.87,0.298,0.48,138.4,498.7,17.45,44.63,negro
ESP000025,12.21,7.78,5.3,4.0,2.76,4.36,8.49,8,5.99,7.16,3.43,1.08,2.49,1.44,1.34,1.01,4,45,0.26,36,2.3,0.695,0.586,50.5,141.1,7.05,19.4,negro
ESP000026,10.66,6.69,3.2,2.52,1.73,1.57,5.74,9,4.5,4.59,4.92,4.35,3.58,1.3,1.46,2.32,7,70,0.49,36,3.33,0.538,0.431,26.6,26.8,8.68,20.56,marron
ESP000027,17.93,11.66,9.42,7.64,4.81,6.19,10.04,11,5.65,14.11,2.25,4.93,4.18,1.68,0.5,3.01,13,99,1.08,209,1.9,0.56,0.787,131.7,522.7,13.87,37.16,negro
ESP000028,19.6,12.07,10.32,8.22,5.57,5.84,8.62,13,8.74,12.76,2.87,5.27,3.2,1.96,0.2,2.8,15,42,0.65,242,1.9,0.44,0.651,157.8,590.6,16.13,42.58,negro
ESP000029,11.2,6.96,4.11,2.98,2.38,2.26,4.67,12,5.09,5.45,4.75,7.37,2.42,1.72,1.27,0.64,9,77,0.83,41,2.73,0.417,0.487,35.9,52.0,10.35,24.81,marron
ESP000030,20.24,12.23,9.9,7.71,5.3,5.64,11.48,11,8.55,11.36,1.39,4.35,4.27,1.7,0.54,2.95,12,38,0.54,247,2.04,0.567,0.561,156.3,565.1,18.58,47.06,metalico
ESP000031,12.45,8.54,3.47,3.32,1.84,4.61,5.06,9,4.91,6.59,3.93,6.17,2.05,1.36,1.49,1.2,8,26,1.07,19,3.59,0.406,0.529,33.7,99.6,10.19,23.85,marron
ESP000032,8.85,5.76,3.37,2.81,1.91,2.72,1.71,7,7.14,8.63,4.66,5.28,2.14,2.68,1.05,1.2,7,44,1.46,5,2.63,0.193,0.975,23.3,40.6,6.86,17.09,negro
ESP000033,20.15,12.52,10.01,7.7,5.49,7.17,8.36,13,6.38,14.23,1.77,4.36,2.68,1.7,0.33,2.41,10,59,0.83,207,2.01,0.415,0.706,157.3,723.1,17.21,44.43,metalico
ESP000034,9.99,6.03,4.2,3.02,2.11,1.0,4.89,8,5.82,4.26,5.66,5.84,2.41,0.98,1.66,1.21,11,31,0.38,32,2.38,0.489,0.426,32.7,21.0,15.07,34.34,marron
ESP000035,10.04,5.83,3.69,2.71,2.11,3.3,6.56,7,3.16,7.26,6.16,5.87,2.02,1.97,1.31,1.0,9,80,0.76,5,2.72,0.653,0.723,28.9,61.1,12.49,28.67,metalico
ESP000036,19.52,11.72,8.95,6.92,4.7,6.95,9.47,11,7.4,11.93,3.88,4.85,4.3,2.13,0.59,3.02,14,53,0.24,227,2.18,0.485,0.611,136.3,607.1,17.56,44.07,metalico
ESP000037,10.8,7.14,4.91,3.57,3.12,3.1,3.02,7,7.08,8.13,5.74,4.29,3.17,1.39,1.52,1.26,10,51,0.9,5,2.2,0.28,0.753,41.4,82.2,11.97,28.85,metalico
ESP000038,12.19,7.5,5.01,4.31,2.77,1.0,5.43,10,4.52,5.23,4.32,1.0,2.46,2.25,1.01,1.1,6,56,0.34,62,2.43,0.445,0.429,47.6,30.5,4.29,13.59,rojizo
ESP000039,13.1,8.46,4.6,3.55,2.8,3.01,3.79,7,6.36,6.43,2.96,1.0,2.4,1.76,0.84,0.5,8,59,0.39,42,2.85,0.289,0.491,47.0,90.7,7.63,19.86,negro
ESP000040,12.39,8.19,3.62,2.53,1.9,3.86,4.86,9,6.38,7.24,5.53,5.16,2.31,1.5,1.42,0.7,12,59,1.13,10,3.42,0.392,0.584,35.0,86.6,7.76,19.14,marron
ESP000041,11.86,6.59,3.65,2.68,1.83,3.68,5.28,10,4.26,7.65,4.37,1.0,2.11,1.84,0.96,0.33,5,75,0.76,58,3.25,0.445,0.645,33.8,79.7,9.35,22.35,negro
ESP000042,11.44,7.05,3.43,2.85,1.85,2.56,6.47,9,6.1,6.2,4.14,5.55,1.99,1.29,1.36,1.09,10,55,0.68,40,3.34,0.566,0.542,30.6,50.2,11.26,25.95,metalico
ESP000043,22.19,13.9,11.7,9.73,6.68,7.42,11.51,13,3.76,16.92,5.3,1.85,3.93,1.88,0.86,2.32,10,35,0.22,290,1.9,0.519,0.763,202.5,963.2,16.52,44.74,negro
ESP000044,24.3,14.86,11.1,8.63,6.34,8.29,14.37,13,2.83,13.45,7.92,3.37,4.29,1.16,1.05,2.91,11,58,0.66,316,2.19,0.591,0.553,210.4,1118.0,13.29,37.68,marron
ESP000045,19.9,12.24,10.13,8.22,5.79,7.51,11.44,13,7.2,11.3,2.29,5.63,3.4,1.33,0.27,2.66,13,83,0.61,237,1.96,0.575,0.568,157.2,757.0,15.96,42.05,metalico
ESP000046,14.69,8.62,5.53,4.31,2.9,4.0,6.99,9,6.16,5.59,3.55,1.0,2.74,0.98,0.99,0.91,4,52,0.47,83,2.66,0.476,0.381,63.4,162.5,4.9,15.33,metalico
ESP000047,12.99,8.2,4.96,3.94,2.84,4.64,4.43,8,5.72,7.04,4.21,1.0,3.42,2.61,0.61,1.45,4,54,0.56,73,2.62,0.341,0.542,50.3,149.5,11.41,27.78,negro
ESP000048,8.85,5.18,3.77,2.74,2.11,1.24,3.68,7,3.49,6.5,4.22,5.03,3.55,1.88,1.16,1.25,8,55,0.88,19,2.35,0.416,0.734,26.0,20.7,10.13,24.03,negro
ESP000049,8.68,5.59,3.57,2.56,1.65,4.42,1.81,9,5.57,6.73,6.89,5.62,1.86,1.4,1.09,1.69,9,77,1.03,5,2.43,0.209,0.775,24.2,68.5,3.0,9.57,negro
ESP000050,10.98,7.47,3.4,2.84,1.69,2.65,6.35,5,4.65,6.11,5.57,5.25,1.49,1.34,1.22,1.12,7,39,0.98,23,3.23,0.578,0.556,29.1,49.5,8.51,20.42,marron
ESP000051,23.56,14.69,10.8,8.42,5.86,7.91,12.07,12,4.09,12.08,5.75,4.4,2.69,1.74,1.13,2.96,12,82,0.49,327,2.18,0.512,0.513,198.5,1006.3,15.62,42.04,metalico
ESP000052,12.3,8.3,5.61,5.04,3.12,1.66,1.0,7,5.73,5.83,3.09,1.13,2.39,1.55,1.14,0.92,8,46,0.61,53,2.19,0.081,0.474,53.8,57.3,8.27,22.15,marron
ESP000053,23.4,14.87,11.32,8.65,6.15,8.74,14.45,11,3.42,9.69,6.19,2.77,4.42,1.31,0.83,1.61,9,53,0.63,299,2.07,0.618,0.414,206.6,1157.6,16.95,45.22,metalico
ESP000054,21.85,14.01,9.83,7.64,5.46,6.62,10.63,10,7.74,13.13,1.0,4.15,3.93,2.26,0.26,2.91,14,52,0.54,239,2.22,0.486,0.601,167.5,710.9,13.72,37.27,metalico
ESP000055,20.7,12.38,8.99,7.11,4.63,6.31,8.68,11,7.22,10.2,4.23,4.23,3.18,2.33,0.2,2.53,16,53,0.1,238,2.3,0.419,0.493,145.2,587.1,21.99,52.97,negro
ESP000056,9.66,6.02,3.59,2.93,2.01,1.27,6.1,8,3.99,5.05,3.6,4.1,2.34,0.5,1.06,0.92,8,82,1.37,16,2.69,0.631,0.523,27.0,22.0,9.15,21.89,negro
ESP000057,12.24,7.9,4.96,4.42,2.92,3.92,6.39,8,5.19,7.55,4.11,1.0,1.24,2.14,0.96,1.31,6,64,0.39,46,2.47,0.522,0.617,47.4,119.0,8.02,21.0,marron
ESP000058,24.17,15.13,12.34,10.32,6.97,7.22,14.72,13,1.24,12.44,5.92,3.18,4.51,1.51,1.05,2.16,9,49,0.59,323,1.96,0.609,0.515,232.6,1076.7,17.21,46.76,metalico
ESP000059,9.27,5.64,4.39,3.48,2.42,2.83,3.07,8,5.72,6.37,6.47,4.52,3.09,2.18,0.93,0.83,8,72,0.36,30,2.11,0.331,0.687,31.7,57.6,9.79,23.97,negro
ESP000060,24.21,15.71,11.04,9.08,5.98,8.4,10.33,11,2.24,15.28,6.49,4.49,5.31,1.63,0.95,2.76,10,51,0.65,313,2.19,0.427,0.631,208.5,1122.6,14.65,40.34,rojizo
ESP000061,11.52,6.98,4.62,3.87,2.3,4.42,7.48,9,5.17,3.84,3.78,1.0,2.24,1.26,0.84,0.55,4,55,0.61,80,2.49,0.649,0.333,41.5,117.6,10.51,25.64,negro
ESP000062,11.65,6.91,4.92,4.05,2.87,4.39,4.77,9,6.45,8.2,3.8,1.19,2.18,2.1,0.75,0.99,4,60,0.1,34,2.37,0.409,0.704,44.7,125.8,7.62,20.16,negro
ESP000063,22.04,14.09,11.11,9.2,6.5,7.56,8.08,14,3.98,12.02,5.78,5.1,5.71,2.14,1.06,2.31,11,75,0.52,321,1.98,0.367,0.545,191.0,925.6,20.46,52.03,negro
ESP000064,11.8,7.59,5.07,4.09,2.71,3.92,6.27,9,3.41,6.0,4.23,3.37,2.29,1.72,1.04,0.58,8,72,0.31,60,2.33,0.531,0.508,46.7,117.3,6.43,17.93,metalico
ESP000065,10.03,6.84,2.99,2.34,1.65,2.95,3.05,10,3.58,6.03,6.68,4.76,2.68,1.61,1.56,1.52,8,69,0.78,13,3.35,0.304,0.601,23.4,44.2,4.14,11.27,negro
ESP000066,12.59,8.11,4.72,3.95,2.52,1.01,5.42,5,3.49,6.69,2.42,2.09,3.43,0.99,0.83,0.72,5,61,0.29,33,2.67,0.431,0.531,46.4,30.0,7.39,19.5,negro
ESP000067,11.82,6.92,5.28,4.22,2.6,4.58,5.2,8,3.59,8.01,3.79,1.0,1.48,1.79,0.64,0.36,6,42,0.51,59,2.24,0.44,0.678,48.7,142.9,6.07,17.42,negro
ESP000068,12.88,7.27,4.84,3.6,2.64,3.61,4.91,9,5.32,5.05,2.23,1.49,2.73,1.37,1.11,0.63,6,67,0.36,57,2.66,0.381,0.392,48.6,112.5,11.12,27.08,negro
ESP000069,23.45,14.9,10.46,8.28,5.92,10.48,12.87,11,2.55,9.6,5.09,3.4,4.1,0.98,0.86,2.22,8,67,0.61,356,2.24,0.549,0.409,191.3,1285.3,18.49,47.44,metalico
ESP000070,19.21,11.56,10.48,8.55,5.54,5.06,8.54,11,6.31,12.33,4.81,2.51,2.89,2.32,0.38,2.89,15,50,0.87,237,1.83,0.445,0.642,157.0,509.3,17.82,46.12,metalico
ESP000071,10.68,6.54,5.71,4.84,2.88,4.34,6.7,9,6.31,6.58,2.69,1.37,2.35,1.76,0.68,0.95,4,63,0.56,69,1.87,0.627,0.616,47.6,132.3,7.31,20.33,negro
ESP000072,14.32,8.67,4.55,3.79,2.19,1.62,7.31,10,4.73,5.25,4.17,1.0,2.66,1.19,1.05,1.25,7,78,0.3,71,3.15,0.51,0.367,50.8,52.8,5.01,14.57,marron
ESP000073,20.51,12.55,10.32,7.93,5.36,6.44,10.04,11,6.63,12.48,3.48,4.64,4.63,1.73,0.68,2.27,12,38,0.5,242,1.99,0.49,0.608,165.1,681.6,15.19,40.7,metalico
ESP000074,24.23,15.55,11.39,9.5,6.43,7.39,8.94,13,3.26,12.53,7.27,4.27,3.43,1.78,0.7,2.9,14,44,0.7,304,2.13,0.369,0.517,215.3,1019.7,17.05,45.49,negro
ESP000075,19.98,11.68,9.4,8.22,5.19,7.71,10.64,12,5.56,11.24,4.28,5.49,4.57,1.69,0.2,2.54,11,31,0.43,203,2.13,0.533,0.563,146.5,724.0,15.84,41.08,marron
ESP000076,12.86,9.0,3.9,3.3,2.16,2.9,8.56,9,5.22,5.32,4.21,1.0,1.48,1.25,1.16,0.2,6,82,0.21,81,3.3,0.666,0.414,39.1,72.7,9.29,22.48,metalico
ESP000077,13.12,8.32,4.4,3.5,2.51,2.07,4.91,10,5.11,7.51,2.48,1.0,2.42,1.81,0.82,1.6,4,75,0.69,33,2.98,0.374,0.572,45.0,59.7,6.06,16.52,negro
ESP000078,13.34,8.61,5.17,4.03,2.91,3.35,7.99,9,4.92,8.65,3.68,1.0,2.62,2.08,0.82,1.06,5,65,0.73,55,2.58,0.599,0.648,53.8,115.5,11.84,28.85,negro
ESP000079,10.97,7.05,3.59,2.56,1.71,4.34,4.59,9,4.22,4.68,7.7,6.41,2.08,1.42,0.88,1.1,10,51,1.0,5,3.06,0.418,0.427,30.7,85.5,9.28,22.15,marron
ESP000080,13.11,8.14,4.95,3.82,2.43,3.78,4.99,8,4.88,4.66,3.15,2.44,3.56,1.24,0.79,0.24,8,79,1.38,75,2.65,0.381,0.355,50.6,122.7,7.19,19.33,negro
ESP000081,14.67,9.25,5.61,4.74,3.05,1.13,6.33,10,3.92,5.94,2.23,1.08,1.84,1.3,0.64,0.59,4,61,0.5,67,2.61,0.431,0.405,64.2,46.5,9.08,23.77,negro
ESP000082,24.05,14.0,11.54,9.63,6.13,8.58,10.95,13,2.87,12.46,6.36,4.83,4.69,2.0,0.95,2.5,8,77,0.92,323,2.08,0.455,0.518,216.5,1190.6,10.81,33.16,metalico
ESP000083,24.74,16.0,10.53,8.53,6.0,8.79,8.81,11,2.81,13.15,7.12,5.41,3.57,1.16,0.8,2.87,12,52,0.41,342,2.35,0.356,0.532,203.2,1145.0,13.79,38.11,metalico
ESP000084,10.58,6.48,2.85,2.4,1.81,3.04,6.64,7,5.61,3.23,3.72,5.09,3.48,1.82,1.12,0.83,10,45,0.7,8,3.71,0.628,0.305,23.5,45.8,11.43,25.71,marron
ESP000085,13.44,8.07,4.93,3.67,2.4,2.07,4.15,9,3.04,6.04,1.79,1.0,1.96,1.63,0.55,1.11,6,57,0.1,61,2.73,0.309,0.449,51.7,68.6,8.73,22.39,negro
ESP000086,9.28,5.96,3.68,3.22,1.72,1.72,5.44,6,5.13,6.03,4.82,5.29,2.43,1.89,1.21,0.86,7,53,1.23,5,2.52,0.586,0.65,26.6,29.4,8.12,19.92,negro
ESP000087,15.43,9.11,5.09,4.19,2.6,4.16,8.01,9,5.81,7.21,2.61,1.07,2.16,1.95,0.87,1.54,5,55,0.88,54,3.03,0.519,0.467,61.3,163.4,9.6,24.29,negro
ESP000088,10.37,6.46,3.07,2.77,1.52,1.5,4.11,9,3.96,6.98,4.52,4.08,2.68,1.86,1.15,1.31,10,58,0.96,7,3.38,0.396,0.673,24.8,23.9,4.13,11.33,metalico
ESP000089,11.23,7.01,5.33,4.04,3.34,3.14,5.49,12,6.62,9.34,1.93,1.36,2.46,1.98,0.66,0.7,4,79,1.02,78,2.11,0.489,0.832,46.7,94.0,3.6,12.53,negro
ESP000090,10.15,6.67,4.17,3.62,2.36,1.34,5.6,8,5.52,8.82,4.19,5.16,2.14,1.56,1.18,1.63,10,33,0.91,24,2.43,0.552,0.869,33.0,28.4,8.31,20.79,marron
ESP000091,24.28,15.63,11.55,8.98,5.76,7.44,13.35,13,5.12,14.96,4.91,3.72,4.67,1.69,1.11,3.12,12,67,0.42,313,2.1,0.55,0.616,218.7,1043.2,14.99,41.53,metalico
ESP000092,25.3,16.28,10.64,8.69,6.0,9.08,10.5,11,2.47,10.98,4.81,3.61,4.7,1.41,0.76,2.49,9,77,0.51,342,2.38,0.415,0.434,210.0,1222.1,17.36,45.36,metalico
ESP000093,12.98,7.99,4.89,4.45,2.75,1.0,5.72,7,3.87,6.52,4.51,1.0,2.65,1.37,0.9,0.93,6,48,0.28,64,2.65,0.441,0.502,49.5,31.7,6.7,18.29,negro
ESP000094,12.62,7.87,3.98,3.28,2.32,3.04,6.22,11,4.48,7.1,5.79,1.0,2.42,1.99,0.96,1.19,4,44,0.75,43,3.17,0.493,0.563,39.2,76.3,9.34,22.66,negro
ESP000095,23.52,14.21,12.25,9.22,6.68,7.73,5.74,10,4.98,11.85,7.62,2.71,4.24,1.95,1.21,2.5,10,41,0.65,338,1.92,0.244,0.504,224.7,1113.6,16.29,44.83,marron
ESP000096,21.29,13.52,9.52,7.43,5.0,8.27,13.85,13,6.37,9.68,1.45,7.01,4.36,2.05,0.54,3.12,12,48,0.38,222,2.24,0.651,0.455,158.1,838.1,14.69,38.9,metalico
ESP000097,8.75,4.65,4.55,3.16,2.59,2.25,2.25,8,2.97,5.52,5.33,4.85,1.75,1.08,1.16,1.0,9,66,0.58,31,1.92,0.257,0.631,31.1,44.8,12.16,28.87,negro
ESP000098,25.96,16.28,10.39,8.52,5.74,8.85,9.75,13,4.74,13.75,4.49,1.65,5.4,1.75,0.99,2.37,9,70,0.5,321,2.5,0.376,0.53,210.4,1193.5,18.88,48.15,marron
ESP000099,12.67,7.59,4.38,3.48,2.17,4.47,4.21,9,6.8,6.07,4.44,1.0,3.79,1.3,0.7,0.84,4,70,0.27,63,2.89,0.332,0.479,43.3,124.0,10.43,25.24,marron
ESP000100,24.1,14.28,12.02,9.65,6.5,7.73,11.52,11,3.31,14.49,6.19,4.3,4.96,0.86,1.33,3.54,8,81,0.21,340,2.0,0.478,0.601,226.0,1119.6,16.03,44.08,rojizo
ESP000101,20.07,12.74,9.63,7.32,5.65,7.18,13.03,10,7.83,15.34,2.54,4.52,3.88,1.8,0.32,2.14,11,29,1.07,199,2.08,0.649,0.764,150.8,693.9,19.12,47.87,negro
ESP000102,10.53,5.76,4.19,2.97,1.8,3.88,6.31,7,6.41,6.43,5.09,5.15,2.88,1.11,1.23,1.25,8,67,1.16,35,2.51,0.599,0.611,34.4,85.6,11.87,27.93,negro
ESP000103,12.47,7.92,3.03,2.57,1.39,3.17,4.3,10,5.16,7.41,3.88,5.9,1.54,2.21,1.55,1.1,10,60,0.89,35,4.12,0.345,0.594,29.5,59.9,4.33,11.69,metalico
ESP000104,11.23,7.09,4.57,3.33,2.77,3.12,5.37,10,1.87,9.96,5.88,5.69,3.74,1.93,1.11,0.92,8,58,1.1,24,2.46,0.478,0.887,40.0,80.1,7.33,19.23,negro
ESP000105,10.03,6.13,3.44,2.54,2.52,3.38,5.52,9,2.17,7.94,3.38,5.51,1.61,1.61,1.08,0.86,11,36,0.95,7,2.92,0.55,0.792,26.9,58.3,8.79,21.02,negro
ESP000106,24.2,14.44,11.22,9.06,5.78,9.17,13.35,13,1.95,12.42,7.05,6.04,3.71,1.82,0.81,3.35,11,74,0.65,338,2.16,0.552,0.513,211.8,1244.9,23.28,57.78,rojizo
ESP000107,23.03,13.98,11.44,9.16,6.51,9.59,12.59,13,3.65,14.22,8.65,1.56,3.93,1.2,1.02,1.89,11,54,0.1,313,2.01,0.547,0.617,205.5,1263.3,15.91,43.26,marron
ESP000108,21.07,13.62,9.23,7.54,5.03,7.39,10.69,12,7.43,10.9,3.2,3.35,3.87,2.09,0.49,2.26,12,41,0.59,249,2.28,0.507,0.517,151.7,718.6,16.53,42.29,negro
ESP000109,12.36,7.85,5.41,4.56,2.93,1.0,3.97,7,4.24,4.34,4.86,1.03,2.87,1.71,1.25,0.6,7,46,0.8,40,2.28,0.321,0.351,52.2,33.4,9.89,25.19,rojizo
ESP000110,19.36,11.96,9.14,7.23,4.98,8.43,7.05,12,8.78,14.31,3.27,4.77,4.68,2.03,0.6,3.01,13,58,0.75,254,2.12,0.364,0.739,138.0,745.8,17.95,45.04,metalico
ESP000111,24.91,14.68,10.37,8.35,5.51,9.26,13.57,11,4.97,13.33,7.24,4.66,4.83,1.24,0.89,2.09,11,21,0.93,324,2.4,0.545,0.535,201.5,1196.0,15.23,40.83,metalico
ESP000112,11.31,7.23,5.3,3.97,3.08,1.21,6.25,8,5.52,6.25,4.01,1.57,3.97,0.75,1.04,0.96,6,73,0.45,40,2.13,0.553,0.553,46.8,36.3,12.33,29.96,negro
ESP000113,10.69,6.84,2.2,2.09,1.46,1.7,6.03,7,3.94,5.1,5.42,4.84,3.25,1.5,1.0,1.23,11,48,0.91,5,4.86,0.564,0.477,18.3,20.0,9.37,20.94,negro
ESP000114,20.4,12.06,9.82,8.28,5.42,7.19,10.1,12,4.9,12.55,3.48,2.69,3.77,1.91,1.37,2.46,15,36,0.7,227,2.08,0.495,0.615,156.3,720.2,13.75,37.32,negro
ESP000115,10.12,6.12,4.57,4.09,2.6,3.79,6.04,9,4.84,5.28,3.74,5.3,3.11,1.07,1.28,1.05,8,65,1.16,5,2.21,0.597,0.522,36.1,87.6,10.13,24.83,negro
ESP000116,20.01,12.2,9.96,7.88,5.5,7.07,9.15,12,4.74,12.7,3.03,4.56,2.7,2.21,0.24,2.58,11,42,0.73,244,2.01,0.457,0.635,155.5,704.5,11.38,32.72,metalico
ESP000117,8.99,5.11,3.15,2.14,1.8,2.78,4.55,9,6.59,7.93,4.62,5.27,3.7,1.69,1.57,0.96,8,85,1.32,17,2.85,0.506,0.882,22.1,39.4,7.74,18.63,marron
ESP000118,9.92,6.07,2.81,2.07,1.83,1.0,4.6,8,3.62,8.09,5.47,6.09,2.88,1.1,1.34,1.69,6,27,0.99,20,3.53,0.464,0.816,21.7,13.9,11.28,25.37,negro
ESP000119,12.79,7.62,4.34,3.23,2.09,2.37,6.97,10,3.76,9.8,4.48,1.85,3.74,1.58,0.71,0.56,4,59,0.32,50,2.95,0.545,0.766,43.3,65.8,11.35,27.04,negro
ESP000120,11.0,6.58,4.25,3.72,2.23,1.47,4.04,7,6.24,7.22,1.87,1.0,3.17,0.99,0.78,0.71,8,79,0.39,89,2.59,0.367,0.656,36.5,34.4,9.48,23.21,negro
ESP000121,21.11,13.32,9.06,6.81,4.75,6.73,9.42,10,7.82,14.3,3.22,4.82,4.0,2.36,0.2,3.31,12,55,0.63,241,2.33,0.446,0.677,149.2,643.6,12.75,34.56,marron
