id_hogar,ingreso_mensual_eur,ingreso_principal_eur,ingreso_secundario_eur,ratio_gasto_ingreso,gasto_mensual_eur,gasto_vivienda_pct,gasto_alimentacion_pct,gasto_suministros_pct,gasto_transporte_pct,gasto_ocio_pct,gasto_educacion_pct,gasto_salud_pct,ahorro_pct,ahorro_acumulado_eur,deuda_eur,deuda_consumo_eur,cuota_deuda_mensual_eur,ratio_endeudamiento_pct,num_miembros,num_perceptores,num_menores,edad_sustentador,num_tarjetas,num_productos_bancarios,antiguedad_cliente_anos,patrimonio_neto_eur,regimen_vivienda,nivel_estudios,situacion_laboral
HOG000100,7842,4870,0,0.71,5568,20.3,10.2,3.0,6.7,24.3,8.9,10.5,44.0,98417,16061,0,539,17.9,2,2,2,69,2,5,15.2,361320,propiedad,medio,parado
HOG000101,3318,2081,0,0.9,2986,43.5,15.1,15.1,10.7,6.2,6.9,7.4,21.7,37050,33488,7498,903,57.0,3,3,0,20,3,3,7.6,143013,propiedad,medio,jubilado
HOG000102,2681,2230,2806,1.03,2761,23.3,26.6,9.5,11.4,3.1,0.0,10.7,1.7,0,25184,9287,370,33.9,3,0,0,36,1,2,0.0,214604,propiedad,medio,ocupado
HOG000103,5213,1700,725,0.97,5057,34.4,24.1,21.1,13.6,11.4,7.2,8.8,0.0,9259,24842,17371,661,54.1,5,2,3,20,1,5,30.1,12265,propiedad,medio,parado
HOG000104,4898,3246,2413,1.07,5241,29.7,17.1,19.3,10.2,3.4,11.9,9.4,14.1,12406,9560,6152,799,31.8,3,2,0,27,0,5,22.3,108752,propiedad,basico,ocupado
HOG000105,6964,5013,0,0.33,2298,8.0,19.4,9.3,16.4,19.5,6.3,8.9,55.0,74895,0,6174,485,0.0,1,1,0,71,3,10,20.0,338231,propiedad,superior,ocupado
HOG000106,7782,5434,0,0.49,3813,15.2,16.5,3.0,10.1,23.7,18.0,7.5,46.3,97517,5981,1779,499,22.0,4,2,0,74,4,7,18.5,495350,hipoteca,superior,ocupado
HOG000107,2463,872,1824,0.86,2118,14.7,20.7,17.0,8.4,3.8,12.1,6.9,13.1,15216,16104,6292,0,13.5,3,1,1,34,0,4,29.0,225269,propiedad,medio,jubilado
HOG000108,4288,1241,3253,0.83,3559,27.9,20.4,14.0,11.0,3.3,4.5,10.1,0.0,10841,22293,5756,757,45.2,2,0,1,41,4,4,14.0,209078,alquiler,superior,ocupado
HOG000109,3132,1163,2824,1.02,3195,32.3,14.5,12.8,9.6,7.7,3.1,4.8,20.2,23437,21711,6803,425,15.2,3,1,3,47,1,6,4.2,58704,propiedad,medio,ocupado
HOG000110,6853,5414,0,0.51,3495,9.0,21.6,7.0,13.5,16.4,8.0,11.6,52.8,60195,14928,3381,387,0.3,1,2,0,56,3,5,30.6,347167,propiedad,superior,inactivo
HOG000111,4841,1690,569,1.02,4938,33.4,23.7,13.5,13.4,10.7,2.1,6.7,0.0,23744,15583,9364,994,42.7,6,2,2,20,3,5,24.5,-8247,hipoteca,superior,inactivo
HOG000112,2109,1249,1568,0.82,1729,30.0,36.1,7.1,25.5,5.4,9.9,7.0,13.0,14813,19268,8507,805,18.7,2,3,2,36,1,3,6.3,-30000,hipoteca,medio,inactivo
HOG000113,1855,1122,2366,0.84,1558,37.4,35.6,15.0,10.9,6.7,4.2,10.6,1.0,12994,20701,7806,587,37.6,2,1,1,43,1,4,14.7,85729,alquiler,medio,jubilado
HOG000114,4175,3782,156,0.83,3465,48.7,23.2,13.2,13.6,3.1,8.1,7.2,3.7,23480,26438,6916,1581,59.5,4,1,0,20,2,6,0.0,248583,propiedad,medio,parado
HOG000115,1002,1441,1664,1.12,1122,50.5,41.7,9.0,14.9,2.5,7.1,8.4,9.5,0,19730,12143,979,42.5,3,0,0,51,0,0,14.3,51233,alquiler,medio,ocupado
HOG000116,4511,3305,230,1.1,4962,35.7,10.3,15.2,8.5,4.6,6.9,10.3,0.4,0,17651,20140,1089,55.7,6,2,3,20,2,3,13.4,-27760,hipoteca,medio,inactivo
HOG000117,6146,2634,23,1.06,6515,35.7,30.0,13.6,11.0,10.7,11.4,8.1,0.0,26250,41789,13596,737,70.6,6,2,2,20,4,5,8.9,-30000,hipoteca,medio,jubilado
HOG000118,2382,2047,567,1.08,2573,29.5,23.5,17.8,13.6,12.6,7.0,5.5,10.6,30895,18745,2638,920,58.8,4,1,2,36,3,0,5.6,314075,alquiler,basico,parado
HOG000119,3505,1962,2061,0.98,3435,25.3,18.2,13.1,12.5,11.1,1.0,10.5,6.8,0,16000,3265,284,14.7,3,2,1,32,0,0,26.3,84205,propiedad,medio,ocupado
HOG000120,3189,2225,0,1.14,3635,43.7,27.3,12.8,7.8,11.0,4.7,12.9,14.4,15663,32966,5532,1272,39.8,2,2,1,20,4,5,14.3,129664,hipoteca,medio,ocupado
HOG000121,4561,3812,2343,1.09,4971,33.6,20.7,15.8,14.7,5.3,6.6,9.7,2.9,0,19309,10093,242,20.2,3,2,0,26,2,2,12.8,40393,propiedad,superior,ocupado
HOG000122,3512,1559,353,0.84,2950,40.4,31.3,10.1,8.5,9.3,3.6,6.7,1.0,0,18893,11064,480,27.8,3,3,0,20,4,2,4.3,130612,propiedad,medio,ocupado
HOG000123,4699,2578,2951,1.03,4840,25.4,27.0,18.7,10.8,3.0,4.8,16.4,10.6,0,9756,6928,641,29.7,3,2,0,49,1,0,0.0,-4697,propiedad,basico,ocupado
HOG000124,700,2122,1378,0.91,637,62.3,37.2,3.5,29.5,10.7,3.5,13.1,13.6,7267,10812,11183,909,48.1,5,1,0,20,0,2,8.9,-30000,alquiler,medio,parado
HOG000125,1536,1832,1757,0.66,1014,28.0,20.7,13.7,12.4,9.1,9.2,11.8,19.4,10967,34404,3546,406,51.1,6,2,0,45,2,1,12.9,133289,propiedad,basico,parado
HOG000126,2734,1883,0,1.23,3363,58.7,25.4,11.9,8.4,0.8,6.5,3.1,15.9,9220,9556,10660,812,33.6,1,3,0,58,3,4,7.0,85943,alquiler,medio,ocupado
HOG000127,2847,1934,0,1.05,2989,27.1,25.4,16.8,7.8,9.5,14.0,0.0,21.1,31850,19021,15971,786,56.0,4,1,1,20,2,7,22.2,118348,propiedad,medio,parado
HOG000128,957,500,2143,1.2,1148,54.2,41.8,8.7,9.3,3.3,0.0,8.6,0.0,0,12398,15780,1366,59.8,5,0,1,73,0,7,2.5,-30000,alquiler,basico,ocupado
HOG000129,4462,1810,0,0.86,3837,59.3,25.1,13.5,3.9,7.6,7.7,5.1,2.5,26866,30096,5367,1163,44.8,3,2,2,20,1,4,30.2,117406,alquiler,basico,ocupado
HOG000130,4443,1960,2705,0.92,4088,34.7,19.9,11.2,7.5,7.3,3.6,9.9,8.3,18114,13032,4131,798,36.7,3,1,0,40,1,3,14.7,69060,hipoteca,superior,jubilado
HOG000131,7249,3103,0,0.46,3335,24.1,18.0,6.6,10.1,22.3,4.9,10.0,19.5,77879,3264,0,0,20.5,3,1,1,62,4,7,0.6,295047,alquiler,superior,ocupado
HOG000132,700,500,2537,1.05,735,63.3,24.6,3.0,12.8,8.2,8.1,7.9,0.0,0,23535,10815,1584,30.3,2,0,0,54,0,0,5.4,-30000,alquiler,medio,ocupado
HOG000133,5382,4057,0,0.41,2207,12.2,18.2,3.0,6.5,17.4,11.1,7.7,23.6,112157,4290,0,397,6.3,2,2,0,90,3,8,24.4,439334,propiedad,medio,ocupado
