id_prestamo,edad,ingresos_mensuales_eur,ingresos_conyuge_eur,importe_prestamo_eur,plazo_meses,cuota_mensual_eur,ratio_endeudamiento,ratio_cuota_ingreso,antiguedad_empleo_anos,antiguedad_cliente_anos,num_prestamos_previos,num_prestamos_activos,num_impagos_previos,dias_mora_max_historico,score_credito,score_externo,saldo_medio_cuenta_eur,num_productos_contratados,patrimonio_declarado_eur,num_consultas_buro_6m,tasa_interes_pct,gastos_fijos_mensuales_eur,finalidad,tipo_empleo,regimen_vivienda,nivel_estudios,sector_actividad,tiene_avalista,impago
PRE000010,26,1156,842,15240,56,294,25.4,14.7,9.8,0.0,3,1,0,0,527,432,8185,3,0,3,12.9,503,coche,temporal,propiedad,medio,construccion,no,1
PRE000011,32,1200,1364,11394,37,333,27.7,13.0,14.0,0.0,0,0,0,55,517,815,6900,7,13596,2,6.4,1072,negocio,fijo,propiedad,basico,construccion,no,1
PRE000012,37,2409,2709,16279,47,374,15.5,7.3,1.2,7.6,1,0,0,33,536,525,-148,2,0,1,10.1,698,coche,autonomo,hipoteca,medio,servicios,no,0
PRE000013,55,3241,1659,6420,51,136,4.2,2.8,7.2,17.0,0,1,1,19,587,583,2187,2,29185,2,9.4,859,negocio,temporal,alquiler,superior,industria,si,1
PRE000014,47,2964,160,22212,64,375,12.6,12.0,10.5,20.7,1,0,1,22,641,721,2499,1,0,3,10.2,1490,estudios,funcionario,alquiler,superior,industria,no,0
PRE000015,63,2096,867,1000,62,17,0.8,0.6,5.4,0.0,1,2,1,2,604,642,-740,7,25611,2,7.2,1475,vivienda,funcionario,propiedad,medio,industria,no,0
PRE000016,53,3730,305,18932,38,538,14.4,13.3,8.4,13.0,1,0,0,10,694,578,4639,3,0,0,6.2,1340,consumo,autonomo,propiedad,superior,servicios,no,0
PRE000017,33,1721,2373,1000,31,35,2.0,0.9,6.9,15.3,0,1,1,0,627,782,-2000,4,7024,0,8.0,793,coche,autonomo,hipoteca,basico,construccion,no,0
PRE000018,46,1284,0,8318,25,359,27.9,27.9,8.5,4.0,2,1,1,3,530,787,2063,4,2376,0,9.7,909,coche,autonomo,hipoteca,medio,publico,no,1
PRE000019,33,2832,3335,15614,54,312,11.0,5.1,3.9,10.0,1,2,0,23,636,720,-2000,4,151128,2,8.9,886,negocio,autonomo,propiedad,superior,construccion,no,0
PRE000020,70,1743,1097,30047,78,416,23.9,14.6,6.5,7.9,3,1,0,8,721,696,801,5,109457,4,15.0,1269,coche,funcionario,hipoteca,basico,construccion,no,0
PRE000021,31,3050,1750,3668,42,94,3.1,2.0,6.7,12.7,1,0,1,32,597,530,9938,6,19629,1,8.8,1120,coche,fijo,alquiler,medio,construccion,no,0
PRE000022,48,1440,1583,13037,52,271,18.8,9.0,8.5,8.8,3,2,0,0,495,690,3900,2,0,1,5.9,267,estudios,temporal,alquiler,medio,publico,no,0
PRE000023,29,3601,788,14168,36,425,11.8,9.7,9.8,4.7,2,0,1,2,592,485,279,5,27281,0,7.8,1324,coche,autonomo,propiedad,basico,servicios,no,0
PRE000024,46,3542,609,4597,97,51,1.4,1.2,13.8,4.3,2,2,0,26,462,524,1376,0,89745,1,9.2,838,vivienda,fijo,propiedad,medio,servicios,no,0
PRE000025,58,1552,0,1000,45,24,1.5,1.5,6.7,2.6,2,0,0,16,612,844,5833,0,143087,1,7.3,661,consumo,funcionario,propiedad,superior,servicios,no,0
PRE000026,52,700,1670,13056,20,705,100.6,29.7,3.0,10.3,0,0,0,22,850,686,2545,5,40194,5,12.5,186,consumo,temporal,alquiler,basico,servicios,no,0
PRE000027,53,827,1426,5513,73,82,9.9,3.6,7.5,0.0,0,0,0,4,561,657,4088,4,70325,0,9.7,414,estudios,autonomo,hipoteca,superior,agrario,no,0
PRE000028,56,2511,1430,3548,86,45,1.8,1.1,5.1,4.7,1,2,1,44,702,591,7050,1,108934,0,7.3,1252,coche,fijo,alquiler,superior,construccion,no,0
PRE000029,33,2008,608,4734,68,75,3.7,2.9,9.5,19.6,3,2,0,23,700,671,1415,4,17738,3,7.3,793,consumo,autonomo,alquiler,superior,industria,no,0
PRE000030,32,3441,2060,10200,51,216,6.3,3.9,5.9,4.9,0,1,0,23,649,776,-1153,1,24889,2,10.1,826,coche,fijo,propiedad,basico,construccion,no,0
PRE000031,34,1109,704,1000,28,39,3.5,2.1,14.0,15.4,0,0,1,0,624,628,4273,0,36385,0,3.6,1268,coche,fijo,hipoteca,basico,construccion,si,0
PRE000032,41,2164,1441,15963,67,257,11.9,7.1,2.7,8.5,3,1,1,16,456,505,5433,4,181272,2,10.5,460,estudios,temporal,alquiler,basico,construccion,no,1
PRE000033,32,1668,740,23190,35,716,42.9,29.7,2.6,0.0,0,0,1,0,732,670,5738,2,32031,1,11.8,895,coche,fijo,alquiler,medio,industria,no,0
PRE000034,18,1267,622,1984,62,35,2.8,1.9,8.7,0.0,2,0,1,0,607,438,2297,3,243004,1,6.3,608,estudios,autonomo,alquiler,basico,servicios,no,0
PRE000035,43,3216,9,33806,35,1043,32.4,32.3,10.4,13.9,1,2,1,5,541,473,4278,0,5426,3,6.2,552,coche,funcionario,propiedad,medio,construccion,no,0
PRE000036,31,2815,1967,14412,36,432,15.3,9.0,11.5,6.4,1,2,0,0,458,474,457,5,35702,4,5.9,884,coche,fijo,hipoteca,medio,servicios,no,0
PRE000037,49,2170,654,2316,15,167,7.7,5.9,7.3,2.1,3,1,0,6,644,537,6478,2,4308,1,4.6,1092,consumo,temporal,hipoteca,basico,industria,si,0
PRE000038,36,2861,0,40923,57,775,27.1,27.1,5.8,13.4,2,2,2,0,617,609,1984,4,57184,1,2.8,1695,consumo,fijo,alquiler,medio,servicios,no,0
PRE000039,25,1321,1856,10988,75,158,12.0,5.0,3.9,10.0,0,2,0,38,660,470,1228,4,26841,2,11.1,1523,negocio,fijo,alquiler,medio,servicios,si,0
PRE000040,52,2634,805,1596,59,29,1.1,0.8,14.9,0.0,2,2,0,40,850,343,7911,5,102256,3,5.0,1223,consumo,temporal,hipoteca,medio,servicios,no,0
PRE000041,56,1629,1114,8585,65,143,8.8,5.2,4.0,9.9,2,1,0,0,772,686,-160,0,0,2,7.5,784,coche,fijo,propiedad,medio,servicios,no,0
PRE000042,43,700,1496,15949,50,344,49.1,15.7,13.6,6.9,2,1,0,9,591,794,5265,2,24397,1,7.0,1477,estudios,temporal,hipoteca,basico,industria,si,0
PRE000043,37,2911,476,11281,88,138,4.7,4.1,6.1,0.0,1,1,1,36,506,571,-1628,4,65970,0,5.4,518,consumo,temporal,alquiler,superior,servicios,no,1
PRE000044,26,2141,2289,14598,67,235,11.0,5.3,12.1,6.1,0,1,0,1,661,508,2207,2,188308,0,8.0,713,consumo,fijo,hipoteca,superior,industria,no,0
PRE000045,61,2675,0,11234,49,248,9.3,9.3,1.1,6.0,2,1,0,0,598,522,4111,1,96278,2,11.5,643,consumo,fijo,propiedad,superior,publico,si,1
PRE000046,27,1640,0,13993,47,322,19.6,19.6,6.3,9.2,3,1,1,19,567,668,4181,2,138381,3,4.2,1058,negocio,temporal,propiedad,medio,construccion,no,1
PRE000047,51,1876,2709,1000,6,180,9.6,3.9,0.0,6.1,2,1,0,0,678,585,6319,2,170018,0,3.8,1045,consumo,autonomo,hipoteca,basico,servicios,no,0
PRE000048,67,2920,758,13275,66,217,7.4,5.9,5.6,5.8,2,0,0,11,664,644,11436,1,69940,1,8.4,1162,negocio,temporal,propiedad,medio,construccion,no,0
PRE000049,42,2782,660,18036,37,526,18.9,15.3,0.0,0.0,1,1,0,15,544,503,-2000,2,104739,0,11.1,288,estudios,temporal,propiedad,basico,industria,no,1
PRE000050,19,2549,496,14861,47,341,13.4,11.2,6.0,17.3,0,0,0,8,778,573,4466,3,0,0,6.7,1365,consumo,fijo,alquiler,superior,servicios,no,0
PRE000051,53,992,1225,10222,60,184,18.5,8.3,4.8,4.9,2,2,0,39,613,633,2870,2,973,0,13.5,1051,coche,fijo,alquiler,medio,agrario,no,0
PRE000052,51,2075,2517,3104,7,479,23.1,10.4,3.2,5.5,1,2,1,8,558,655,7524,0,35915,0,6.7,899,coche,fijo,hipoteca,basico,servicios,no,1
PRE000053,65,1804,563,25300,45,607,33.6,25.6,6.8,4.9,1,0,1,17,717,596,4408,0,147051,0,4.6,1201,estudios,fijo,hipoteca,superior,construccion,si,0
PRE000054,31,1514,336,8780,54,176,11.6,9.5,2.6,9.6,1,0,1,0,661,638,3315,5,0,0,13.5,297,consumo,funcionario,alquiler,basico,industria,no,0
PRE000055,53,3675,0,6457,53,132,3.6,3.6,5.0,13.4,0,1,0,25,685,369,5196,0,113838,3,8.9,1437,consumo,fijo,hipoteca,medio,publico,si,0
PRE000056,22,2314,1551,1957,31,68,2.9,1.8,5.4,14.2,3,2,1,18,637,650,2879,0,235582,2,11.4,1060,negocio,autonomo,propiedad,medio,publico,no,0
PRE000057,47,3951,628,11776,38,335,8.5,7.3,0.0,10.5,0,2,0,35,586,613,-555,1,0,0,10.9,404,consumo,fijo,alquiler,medio,servicios,no,0
PRE000058,64,2074,2303,1404,25,61,2.9,1.4,18.3,14.5,0,1,0,35,573,610,567,4,37625,3,5.0,236,coche,temporal,hipoteca,basico,servicios,no,0
PRE000059,59,2696,1271,24950,80,337,12.5,8.5,6.1,2.4,0,0,0,12,674,577,-2000,5,25434,3,12.6,1467,estudios,fijo,hipoteca,medio,construccion,si,0
PRE000060,43,2339,1929,19412,42,499,21.3,11.7,3.1,16.4,3,1,0,0,628,753,-2000,5,17071,2,7.5,100,consumo,fijo,alquiler,basico,servicios,no,0
PRE000061,39,1855,0,6402,27,256,13.8,13.8,0.0,4.5,4,2,1,8,726,741,619,2,6792,2,8.4,1405,vivienda,funcionario,hipoteca,superior,agrario,si,0
PRE000062,46,1476,1518,14357,30,517,35.0,17.3,4.1,0.0,2,0,0,0,680,698,2211,3,25131,3,2.0,897,coche,fijo,alquiler,basico,publico,no,0
PRE000063,39,3511,381,16887,44,414,11.8,10.6,0.0,9.8,1,2,0,0,639,708,3290,0,0,3,9.0,776,consumo,temporal,alquiler,medio,industria,no,0
PRE000064,43,3565,392,25710,73,380,10.7,9.6,11.6,2.2,3,1,0,0,816,783,2569,4,16617,1,11.0,1124,coche,autonomo,alquiler,medio,servicios,no,0
PRE000065,46,2625,1016,10834,53,221,8.4,6.1,0.2,2.6,1,3,0,1,668,680,6588,4,69231,1,10.8,100,estudios,temporal,alquiler,basico,agrario,no,0
PRE000066,30,1608,920,5269,88,65,4.0,2.6,8.2,9.7,0,0,0,0,639,772,7138,1,47290,1,7.3,736,coche,autonomo,hipoteca,medio,construccion,no,0
PRE000067,40,3305,2062,14522,36,436,13.2,8.1,4.2,8.0,0,2,0,4,646,596,1654,3,0,1,8.0,901,coche,temporal,alquiler,superior,servicios,no,0
PRE000068,52,1390,1283,8579,28,331,23.8,12.4,2.5,13.0,0,2,1,0,651,598,1897,3,9410,0,14.1,100,coche,temporal,alquiler,superior,industria,no,0
PRE000069,30,3440,803,10838,62,189,5.5,4.5,9.3,2.5,4,0,1,15,630,564,4022,1,0,4,8.3,673,consumo,autonomo,hipoteca,medio,construccion,no,0
PRE000070,55,1874,1132,16747,70,258,13.8,8.6,10.4,7.1,0,0,0,24,712,706,627,2,0,1,13.3,448,vivienda,temporal,alquiler,basico,servicios,no,0
PRE000071,60,2204,79,15470,63,265,12.0,11.6,6.3,7.7,0,0,0,0,531,742,4129,4,10687,2,8.0,326,vivienda,fijo,hipoteca,basico,servicios,si,0
PRE000072,38,2051,1520,13754,55,270,13.2,7.6,9.3,4.0,0,0,0,0,515,542,2849,1,0,2,6.0,721,negocio,funcionario,alquiler,medio,servicios,no,0
PRE000073,50,1989,0,4414,54,88,4.4,4.4,6.6,6.1,4,1,0,24,660,479,6156,2,0,3,8.5,389,vivienda,autonomo,alquiler,medio,servicios,no,0
PRE000074,45,3155,81,19775,46,464,14.7,14.3,6.6,8.3,0,0,1,39,604,523,2291,4,26538,2,13.7,100,consumo,autonomo,alquiler,superior,servicios,no,0
PRE000075,23,700,253,19069,37,557,79.5,58.4,7.9,0.0,1,1,1,33,850,570,2273,1,0,1,12.8,1151,coche,fijo,propiedad,superior,servicios,no,0
PRE000076,57,1332,287,7019,54,140,10.5,8.6,10.3,4.8,2,1,1,0,697,738,3415,0,76596,5,6.1,1115,consumo,autonomo,alquiler,superior,industria,no,0
PRE000077,55,2215,289,3588,47,82,3.7,3.3,6.2,13.3,1,0,0,0,601,717,4257,6,340019,1,10.1,734,vivienda,fijo,propiedad,basico,industria,no,0
PRE000078,32,2684,437,10681,69,167,6.2,5.3,2.6,8.4,3,1,1,22,425,631,-2000,1,22494,1,9.5,391,consumo,temporal,propiedad,basico,agrario,si,0
PRE000079,42,2334,2721,1357,37,40,1.7,0.8,0.0,3.7,0,0,1,42,709,784,6514,6,0,1,8.8,939,vivienda,temporal,propiedad,medio,industria,no,0
PRE000080,36,1832,949,7959,44,195,10.6,7.0,3.1,3.5,1,2,1,6,742,552,6154,2,101832,0,8.9,597,negocio,temporal,alquiler,medio,servicios,no,0
PRE000081,58,2260,876,20144,88,247,10.9,7.9,7.1,15.8,1,2,1,0,667,529,3808,6,85352,5,11.3,348,negocio,temporal,hipoteca,medio,agrario,no,0
PRE000082,40,1742,1453,19254,35,594,34.1,18.6,13.5,9.1,1,1,0,26,791,560,3936,6,272132,2,15.5,1291,coche,fijo,hipoteca,basico,servicios,no,0
PRE000083,55,1756,656,24531,31,855,48.7,35.4,18.1,5.3,0,2,1,9,552,647,2548,3,90116,1,10.9,1002,estudios,fijo,hipoteca,medio,agrario,no,0
PRE000084,48,2704,1443,1120,33,37,1.4,0.9,1.6,10.0,3,1,1,0,557,492,2775,6,74907,0,8.9,1196,coche,fijo,alquiler,basico,servicios,no,0
PRE000085,22,2806,2079,11091,44,272,9.7,5.6,6.9,3.7,3,2,0,0,633,603,-1491,0,10478,2,12.9,895,vivienda,temporal,alquiler,medio,publico,no,0
PRE000086,54,1246,3292,30594,19,1739,139.5,38.3,4.3,4.0,0,1,1,0,613,621,-2000,5,0,4,6.1,1273,coche,temporal,alquiler,medio,construccion,no,1
PRE000087,39,1245,379,2159,36,65,5.2,4.0,10.6,2.6,2,0,2,2,651,642,2852,7,60899,1,10.1,1392,vivienda,temporal,hipoteca,superior,servicios,no,1
PRE000088,51,2636,1153,29714,47,683,25.9,18.0,7.7,9.3,2,2,0,0,628,555,4575,3,46861,0,11.9,715,vivienda,fijo,propiedad,medio,agrario,no,0
PRE000089,66,3299,1309,25077,31,874,26.5,19.0,9.6,24.4,1,1,0,29,602,699,389,3,95808,1,6.2,1108,negocio,temporal,propiedad,medio,construccion,si,1
PRE000090,50,700,1101,16110,67,260,37.1,14.4,1.1,8.4,1,0,0,0,684,622,-883,0,0,0,11.2,1239,coche,fijo,propiedad,medio,industria,no,0
PRE000091,39,700,493,14478,66,237,33.8,19.8,5.0,3.7,0,0,1,0,624,506,2633,5,0,4,10.7,1189,consumo,funcionario,propiedad,basico,publico,no,0
PRE000092,45,1321,1193,21732,16,1467,111.0,58.3,9.4,7.0,0,1,0,6,731,527,3213,2,0,0,8.5,807,estudios,autonomo,alquiler,superior,publico,no,0
PRE000093,38,2959,2368,6761,7,1043,35.2,19.6,2.1,4.1,4,1,0,13,776,689,4495,3,0,2,8.1,1209,estudios,fijo,alquiler,basico,servicios,no,0
PRE000094,56,700,1367,12294,50,266,37.9,12.9,5.2,12.9,1,0,0,7,675,500,40,1,33183,2,15.7,845,consumo,autonomo,propiedad,superior,industria,no,0
PRE000095,60,1051,658,4327,27,173,16.4,10.1,11.4,9.0,0,1,0,19,627,580,775,2,36295,0,9.4,958,vivienda,funcionario,propiedad,basico,agrario,no,0
PRE000096,18,2258,561,18515,94,213,9.4,7.6,5.3,13.7,1,0,1,0,608,662,5032,2,75665,0,8.3,1394,coche,temporal,alquiler,medio,servicios,no,1
PRE000097,35,1514,0,17345,81,231,15.2,15.2,7.1,9.4,0,0,1,11,689,675,2307,1,76659,1,12.3,1370,consumo,fijo,propiedad,medio,construccion,si,0
PRE000098,38,2071,0,26628,48,599,28.9,28.9,6.5,0.0,2,2,1,4,714,829,5655,5,89229,2,10.3,373,negocio,temporal,alquiler,medio,industria,no,0
PRE000099,57,1556,0,13283,48,299,19.2,19.2,10.7,2.3,3,1,0,0,624,640,-2000,3,90054,3,11.9,1039,coche,temporal,alquiler,superior,servicios,no,1
PRE000100,43,3041,717,12779,95,145,4.8,3.9,10.4,11.0,1,1,1,0,682,691,6283,2,0,1,7.3,314,estudios,temporal,alquiler,superior,construccion,si,0
PRE000101,60,2510,526,26191,31,912,36.3,30.0,9.2,0.0,2,1,0,4,753,403,-901,3,137515,1,7.2,963,vivienda,fijo,hipoteca,basico,agrario,no,0
PRE000102,60,2680,0,9683,40,261,9.7,9.7,0.4,5.2,4,2,1,0,674,694,4223,2,36451,2,8.7,415,estudios,temporal,propiedad,basico,publico,si,1
PRE000103,30,2168,70,3300,60,59,2.7,2.6,11.4,6.0,3,1,0,48,789,561,-412,6,103670,0,3.7,1529,vivienda,temporal,hipoteca,medio,servicios,no,0
PRE000104,42,2119,0,12906,77,181,8.5,8.5,10.3,3.0,0,3,0,8,702,561,1646,1,59816,2,10.4,628,consumo,funcionario,hipoteca,superior,servicios,no,0
PRE000105,45,1432,0,15147,64,256,17.9,17.9,3.7,9.5,3,1,1,11,642,677,13308,1,124527,3,4.1,600,coche,temporal,propiedad,superior,industria,no,1
PRE000106,29,700,1187,8703,65,145,20.7,7.7,6.6,8.3,0,1,0,0,676,648,5025,3,101561,0,4.0,889,consumo,fijo,alquiler,medio,agrario,no,0
PRE000107,35,3480,2262,1000,47,23,0.7,0.4,0.0,12.9,1,2,0,0,607,691,9388,3,113849,0,12.6,431,consumo,autonomo,alquiler,medio,servicios,no,0
PRE000108,27,2661,829,22367,6,4026,151.2,115.3,8.1,0.0,3,1,0,47,570,561,1164,4,86078,2,7.3,775,consumo,autonomo,propiedad,superior,servicios,no,1
PRE000109,46,2719,391,17356,38,493,18.1,15.8,7.3,2.0,4,0,1,0,602,696,551,3,0,2,11.1,1468,coche,autonomo,hipoteca,basico,industria,no,0
PRE000110,36,2896,873,1000,24,45,1.6,1.2,7.6,13.3,1,1,0,0,850,759,-1898,4,213695,1,2.9,1229,estudios,temporal,hipoteca,medio,construccion,no,0
PRE000111,54,700,250,21510,6,3872,200.0,200.0,3.3,9.5,2,1,1,58,714,710,2912,3,46340,1,7.0,1733,consumo,fijo,alquiler,medio,servicios,no,1
PRE000112,55,799,1510,19028,31,663,82.9,28.7,1.8,6.3,0,0,0,0,563,743,7170,5,0,0,10.7,661,consumo,fijo,hipoteca,basico,servicios,no,0
PRE000113,50,3553,2308,25209,73,373,10.5,6.4,5.3,0.0,1,2,1,46,572,352,7092,6,62387,1,7.1,940,coche,autonomo,propiedad,basico,servicios,no,0
PRE000114,52,3654,0,1614,23,76,2.1,2.1,4.9,4.7,1,1,0,21,585,508,7925,4,0,2,9.1,1144,coche,temporal,hipoteca,medio,agrario,si,1
PRE000115,40,1969,305,15866,29,591,30.0,26.0,3.3,4.6,3,0,1,24,793,731,1115,3,40681,0,9.8,678,vivienda,fijo,alquiler,superior,servicios,no,0
PRE000116,66,1448,2023,24459,20,1321,91.2,38.0,8.2,2.6,1,0,0,0,702,445,1183,3,59412,3,4.7,1046,coche,fijo,alquiler,medio,servicios,no,0
PRE000117,56,3429,975,16325,72,245,7.1,5.6,12.9,10.4,2,2,0,0,467,575,3764,0,72697,2,8.7,432,coche,fijo,hipoteca,superior,servicios,no,0
PRE000118,45,2895,0,1174,49,26,0.9,0.9,0.2,2.4,2,2,0,21,613,582,4905,3,0,0,5.3,1571,consumo,fijo,alquiler,superior,agrario,no,0
PRE000119,35,2764,171,24470,42,629,22.7,21.4,2.2,4.8,2,3,1,23,684,604,7321,4,59813,1,8.2,790,vivienda,fijo,hipoteca,medio,agrario,no,0
PRE000120,42,700,0,6011,46,141,20.1,20.1,0.0,17.1,1,0,0,0,649,718,-1895,1,135905,1,2.0,336,estudios,fijo,alquiler,medio,servicios,no,0
PRE000121,36,1750,1863,1000,78,14,0.8,0.4,8.3,0.0,2,0,0,0,586,745,5951,4,91441,5,7.2,176,vivienda,temporal,alquiler,medio,servicios,no,0
PRE000122,60,2128,0,11775,62,205,9.6,9.6,7.2,5.2,1,0,0,0,570,633,2718,4,0,0,6.7,100,negocio,fijo,alquiler,basico,industria,si,0
PRE000123,42,3288,353,14237,65,237,7.2,6.5,10.6,12.3,1,0,0,28,632,762,5766,6,9031,1,4.7,801,consumo,fijo,propiedad,basico,industria,si,0
PRE000124,26,1355,1764,8263,52,172,12.7,5.5,11.4,0.0,4,0,1,9,572,504,1661,2,113492,1,11.0,865,consumo,temporal,propiedad,basico,servicios,no,1
PRE000125,31,1948,356,6119,37,179,9.2,7.8,0.0,5.5,1,1,1,0,593,762,1859,1,0,1,7.2,1410,vivienda,fijo,propiedad,basico,servicios,si,0
PRE000126,23,2143,2106,2861,43,72,3.4,1.7,2.9,9.7,1,1,2,3,605,689,2732,4,101875,0,6.7,1305,coche,fijo,hipoteca,basico,construccion,no,1
PRE000127,39,1166,395,21353,38,607,52.0,38.9,3.4,0.9,1,0,2,65,672,643,-2000,6,53791,2,7.6,896,vivienda,fijo,alquiler,superior,industria,si,1
PRE000128,49,700,0,25631,53,522,74.5,74.5,7.9,12.2,0,0,1,5,626,565,-464,4,80711,1,3.8,1215,vivienda,fijo,alquiler,superior,agrario,no,0
PRE000129,49,2168,137,9530,62,166,7.7,7.2,6.0,10.0,2,0,0,0,688,522,-1629,7,92964,2,10.3,954,consumo,funcionario,propiedad,medio,industria,si,0
PRE000130,43,3612,2288,22008,41,580,16.1,9.8,6.4,2.6,2,2,1,13,759,706,384,1,38209,1,3.5,1016,negocio,autonomo,alquiler,basico,servicios,no,1
PRE000131,48,2809,737,1000,87,12,0.4,0.3,7.8,2.7,2,1,0,0,576,537,-388,0,46017,0,7.0,796,vivienda,funcionario,propiedad,basico,construccion,no,0
PRE000132,62,2338,856,10637,76,151,6.5,4.7,7.3,4.5,0,3,1,32,636,577,3186,0,21508,0,8.9,1053,estudios,autonomo,hipoteca,medio,servicios,no,0
PRE000133,52,4349,494,10857,37,317,7.3,6.5,9.9,7.4,4,0,1,0,694,654,9507,4,144751,1,10.6,1146,coche,fijo,propiedad,medio,publico,no,0
PRE000134,44,1529,0,17910,63,307,20.1,20.1,6.9,3.6,3,2,0,13,507,634,2345,3,106755,1,4.3,1190,coche,autonomo,hipoteca,basico,construccion,no,0
PRE000135,22,1712,738,1000,63,17,1.0,0.7,13.4,4.5,3,0,0,0,715,687,4453,4,76756,4,8.2,605,consumo,fijo,propiedad,basico,publico,no,0
PRE000136,37,2726,0,35782,8,4831,177.2,177.2,8.3,0.0,2,1,2,0,754,507,4792,2,111161,2,12.5,173,consumo,fijo,hipoteca,medio,publico,no,1
PRE000137,43,2734,0,20496,49,452,16.5,16.5,6.4,0.0,3,1,0,28,640,611,10708,7,25864,2,6.8,601,negocio,temporal,propiedad,superior,servicios,si,0
PRE000138,63,2194,2010,7755,30,279,12.7,6.6,15.3,3.3,2,0,0,0,626,567,1386,2,177892,2,9.2,748,vivienda,fijo,alquiler,medio,servicios,no,0
PRE000139,32,2395,726,27556,27,1102,46.0,35.3,11.7,10.0,1,0,1,0,697,655,6954,1,235846,0,4.9,887,coche,temporal,alquiler,superior,servicios,no,0
PRE000140,43,3040,95,20177,74,294,9.7,9.4,7.1,0.9,0,2,0,0,580,460,1566,3,85782,3,7.2,764,consumo,funcionario,alquiler,superior,publico,no,0
PRE000141,27,2448,0,13687,59,251,10.2,10.2,8.7,7.8,1,1,1,5,632,589,2672,2,77096,4,3.3,330,vivienda,fijo,alquiler,superior,servicios,no,0
PRE000142,19,2765,1429,4802,43,121,4.4,2.9,5.4,3.7,2,0,0,31,544,651,-331,2,142425,1,8.0,1001,negocio,autonomo,alquiler,medio,construccion,no,0
PRE000143,50,2094,440,7306,66,120,5.7,4.7,8.8,7.5,4,0,0,0,592,574,4436,0,63086,5,10.7,348,negocio,fijo,hipoteca,medio,servicios,no,1
PRE000144,25,2680,1522,1000,50,22,0.8,0.5,0.6,3.1,2,1,1,43,674,584,1695,3,25224,2,7.8,814,vivienda,temporal,propiedad,basico,agrario,no,1
PRE000145,42,1893,1489,4841,76,69,3.6,2.0,4.1,13.1,2,0,0,0,557,543,2287,2,41950,0,10.9,1086,coche,fijo,alquiler,superior,agrario,no,1
PRE000146,31,2827,2657,18499,13,1537,54.3,28.0,6.4,5.7,1,0,2,0,668,501,2159,3,167671,3,9.4,379,estudios,temporal,alquiler,superior,industria,no,0
PRE000147,18,1644,2662,17573,52,365,22.2,8.5,11.0,0.0,1,1,1,7,736,536,2014,1,14688,2,11.3,1476,coche,temporal,alquiler,basico,servicios,no,0
PRE000148,44,1854,298,3212,76,46,2.5,2.1,0.0,6.8,0,0,1,5,572,545,8817,5,266442,0,5.0,1091,consumo,fijo,alquiler,superior,agrario,si,0
PRE000149,28,1654,615,16978,45,407,24.6,17.9,12.0,7.7,2,1,1,0,604,792,4645,0,0,0,8.7,843,coche,fijo,propiedad,medio,industria,no,0
PRE000150,18,2706,767,21719,46,510,18.8,14.7,6.5,0.0,0,1,0,0,714,916,6491,1,129823,2,14.0,253,vivienda,fijo,propiedad,basico,servicios,no,0
