id_parcela,ph_suelo,materia_organica_pct,carbono_organico_pct,nitrogeno_ppm,fosforo_ppm,potasio_ppm,calcio_ppm,magnesio_ppm,azufre_ppm,conductividad_electrica,cic,caliza_activa_pct,arcilla_pct,arena_pct,limo_pct,humedad_suelo_pct,capacidad_campo_pct,profundidad_suelo_cm,pendiente_pct,altitud_m,precipitacion_anual_mm,temp_media_c,temp_min_invierno_c,temp_max_verano_c,radiacion_anual,evapotranspiracion_mm,indice_aridez,orientacion,tipo_suelo
PAR000067,9.0,1.0,2.25,23,13,40,1333,230,22.3,2.76,17.9,22.7,37.4,41.6,5.0,23.7,31.4,18,20.2,249,253,21.3,-0.6,29.2,1565,1199,0.52,O,arenoso
PAR000068,7.3,0.7,2.61,10,2,40,1506,196,27.4,1.4,16.3,15.2,33.6,37.5,10.1,10.2,43.9,49,21.2,127,372,21.7,-1.5,23.6,1452,1327,0.36,O,calcareo
PAR000069,6.7,3.1,1.29,2,2,122,387,108,15.2,1.22,21.8,8.9,17.1,59.6,39.2,6.4,39.4,53,9.7,688,222,13.9,3.9,33.6,1591,950,0.43,E,calcareo
PAR000070,5.5,1.7,1.99,30,24,245,300,285,5.9,0.33,16.7,7.6,26.5,33.9,15.1,23.4,23.6,60,21.8,0,441,17.8,1.0,32.7,1606,917,1.26,S,arenoso
PAR000071,4.7,5.7,1.79,32,30,226,964,246,3.3,0.71,10.7,8.5,52.9,35.8,5.0,25.9,20.1,71,0.0,173,799,16.8,0.5,27.8,1712,650,0.82,E,calcareo
PAR000072,7.5,0.6,1.35,11,7,132,1048,130,14.7,1.73,13.5,12.7,27.5,31.6,35.1,15.8,53.2,39,14.8,839,595,17.4,0.1,31.1,1437,946,0.39,E,arcilloso
PAR000073,6.3,1.9,2.73,16,2,151,1041,58,26.0,1.8,22.6,6.5,18.7,7.2,54.6,9.8,45.3,57,21.6,238,253,18.6,2.3,39.2,2102,955,0.57,N,arenoso
PAR000074,7.4,5.1,0.93,30,28,251,2006,442,14.5,0.52,31.1,6.1,5.7,66.5,31.0,30.0,27.9,53,0.0,1291,902,10.1,-0.2,37.1,1883,872,0.93,E,arcilloso
PAR000075,7.0,4.0,1.32,36,37,217,3139,368,7.1,1.32,23.4,0.0,8.3,53.4,35.5,44.4,34.6,100,0.0,1007,705,11.7,9.0,38.2,2187,529,1.13,O,franco
PAR000076,7.5,2.8,1.48,29,3,102,845,129,26.9,0.6,20.3,12.3,22.7,54.5,45.7,22.5,50.7,93,9.5,233,406,12.0,1.6,36.3,2092,1086,0.55,S,franco
PAR000077,8.0,1.1,0.74,20,7,104,1751,75,29.5,1.71,18.0,13.4,60.0,23.3,13.1,5.0,33.8,33,25.6,96,396,18.4,-1.4,25.7,1442,982,0.29,E,calcareo
PAR000078,6.3,3.6,2.01,26,27,219,816,282,6.6,0.1,3.0,7.7,24.3,36.4,5.0,41.7,25.8,77,0.7,328,700,18.9,5.0,22.5,1349,746,0.92,O,franco
PAR000079,8.1,0.8,2.53,2,5,49,1149,224,16.6,1.59,15.4,14.8,45.3,51.3,21.4,5.0,35.0,71,16.2,151,667,20.6,-6.9,29.9,1512,1168,0.11,O,franco
PAR000080,8.4,1.3,2.84,2,8,76,1405,111,12.8,0.58,21.5,23.0,29.5,30.4,14.3,9.9,31.6,15,30.3,160,589,22.0,5.4,26.8,1713,1280,0.6,O,calcareo
PAR000081,7.1,0.6,1.51,17,10,133,1250,359,14.0,0.88,23.3,9.3,36.5,43.2,26.3,20.9,50.2,35,23.9,520,549,20.8,6.8,38.3,1700,885,0.42,N,calcareo
PAR000082,6.2,5.3,0.64,31,28,271,2606,362,15.0,0.27,23.0,4.6,7.9,68.9,23.8,33.9,46.3,90,9.5,892,834,10.7,2.4,31.6,1724,921,0.81,S,franco
PAR000083,5.6,3.1,2.23,45,32,253,389,326,4.1,0.82,19.2,0.0,31.7,46.7,5.0,29.1,10.6,83,16.0,417,658,17.8,3.8,30.6,1594,907,1.01,N,franco
PAR000084,5.5,5.6,0.54,40,31,287,3092,262,13.2,0.47,27.0,0.0,20.8,53.4,31.2,22.4,44.2,126,1.0,923,842,10.0,12.2,32.9,1697,959,1.06,N,franco
PAR000085,6.8,0.5,1.27,25,8,81,1712,89,30.5,0.83,20.5,11.6,33.8,64.6,35.1,12.9,44.5,35,10.1,325,513,16.9,4.1,34.1,1923,751,0.36,E,arenoso
PAR000086,4.7,2.2,2.31,34,30,217,300,249,21.8,0.69,13.1,0.3,15.2,26.7,5.0,17.7,35.3,94,0.0,31,854,15.0,3.7,29.1,1088,534,0.76,E,arenoso
PAR000087,7.1,0.6,1.87,5,9,140,1090,86,20.8,1.67,19.0,9.2,25.6,42.6,53.3,12.4,43.1,38,21.5,543,339,19.3,1.6,41.4,1968,1111,0.5,E,arenoso
PAR000088,6.0,3.9,2.84,47,30,162,300,199,13.0,0.35,18.4,0.0,43.8,35.5,11.5,25.6,27.3,106,1.9,0,785,17.8,2.0,34.6,1689,815,0.86,E,arcilloso
PAR000089,6.8,4.2,1.09,42,39,270,1992,241,17.5,0.1,27.1,2.6,16.3,81.8,47.0,32.9,50.2,136,0.0,1001,1041,18.2,14.4,30.3,2024,1049,1.03,S,arenoso
PAR000090,9.0,2.4,1.89,6,8,88,1921,40,17.1,2.08,11.4,16.3,32.6,24.1,23.0,9.4,41.3,29,22.4,65,150,15.6,-3.0,31.3,1887,1125,0.46,N,franco
PAR000091,8.1,0.5,1.69,14,2,146,811,112,18.9,2.05,14.1,22.0,24.7,61.2,22.6,18.3,44.4,36,18.3,379,535,19.9,-4.3,30.1,1668,1117,0.19,S,franco
PAR000092,5.8,4.4,1.32,37,29,237,431,106,9.6,0.83,15.1,0.0,26.5,26.5,8.9,28.1,31.6,70,0.0,78,1024,16.6,12.4,30.7,1549,870,1.12,N,arcilloso
PAR000093,6.3,3.2,1.63,38,31,222,480,159,15.8,0.59,25.1,2.5,15.3,39.2,5.0,29.0,18.6,93,10.0,541,759,19.6,6.7,36.4,980,989,0.89,S,franco
PAR000094,8.0,0.3,2.07,18,15,170,1480,40,21.0,2.09,25.4,18.9,55.6,14.8,28.0,6.3,25.9,15,15.6,0,150,22.8,0.7,25.9,1472,900,0.1,N,franco
PAR000095,6.4,4.2,0.57,38,22,347,1635,244,15.3,0.78,20.6,1.1,10.1,71.7,27.3,40.4,41.4,132,0.0,800,764,13.8,5.4,32.6,2000,684,1.08,E,arenoso
PAR000096,6.7,1.5,1.26,28,10,199,1222,235,23.2,0.61,20.0,6.8,31.0,62.1,41.1,19.6,34.7,89,9.4,292,633,18.7,8.7,34.8,2060,1231,0.36,O,arenoso
PAR000097,5.5,4.6,1.58,33,27,291,2572,412,14.7,1.03,30.7,1.5,14.6,26.5,27.0,29.6,35.5,75,14.3,672,860,9.9,7.6,34.1,1799,830,0.82,S,arenoso
PAR000098,8.5,0.4,2.38,26,3,76,658,184,31.8,1.92,16.1,20.6,36.4,18.9,32.3,10.4,36.6,71,23.3,88,245,20.6,1.3,31.7,1586,844,0.1,N,arcilloso
PAR000099,9.0,1.0,1.44,6,4,137,1202,158,18.4,1.72,24.7,18.6,19.6,31.4,6.0,9.7,42.9,34,10.8,566,212,18.2,-3.3,37.6,1807,849,0.1,O,arcilloso
PAR000100,9.0,2.3,2.17,7,5,40,1308,107,22.2,1.16,17.2,11.3,28.4,20.5,17.6,24.0,32.9,54,19.4,222,150,20.4,-0.2,28.3,1472,1034,0.1,O,arcilloso
PAR000101,5.7,4.2,1.79,29,26,227,300,292,11.1,0.48,22.6,3.3,31.6,32.8,5.0,27.0,29.0,67,0.0,460,893,19.3,3.9,29.6,1260,790,1.0,S,franco
PAR000102,9.0,2.5,0.9,12,2,143,779,222,27.1,2.26,15.4,25.8,54.0,32.0,5.0,7.7,24.8,48,17.0,323,263,22.4,1.8,25.8,1688,1193,0.63,N,arcilloso
PAR000103,9.0,0.9,1.7,13,10,66,1243,130,34.2,1.29,21.6,20.6,35.9,9.3,27.8,5.2,32.7,35,25.8,190,390,19.1,3.5,25.7,1585,766,0.11,E,arcilloso
PAR000104,8.4,2.3,1.85,4,2,118,553,263,29.9,2.16,31.4,23.4,34.1,37.2,24.8,11.4,40.2,63,27.4,302,277,21.7,3.2,37.9,1577,1028,0.1,O,arcilloso
PAR000105,5.5,4.7,1.73,33,17,231,704,261,19.7,0.94,23.2,7.7,28.3,23.7,5.0,25.9,22.3,87,7.9,147,1003,19.1,9.4,26.0,1413,751,0.98,E,franco
PAR000106,5.5,2.2,1.25,35,27,301,583,203,10.6,1.81,7.1,6.0,19.4,41.9,5.0,27.2,25.9,94,5.5,248,718,19.8,11.8,33.7,934,657,0.84,O,franco
PAR000107,8.2,0.9,1.76,11,19,40,1077,211,33.3,1.79,19.1,21.0,30.5,40.5,13.9,7.9,45.8,19,26.0,257,504,15.3,-3.1,28.8,1388,1167,0.43,N,arcilloso
PAR000108,8.0,1.1,2.89,13,2,158,585,134,25.6,1.41,18.9,13.9,60.0,36.6,16.1,9.1,35.5,62,13.6,258,490,16.6,0.7,27.1,1619,1085,0.18,N,calcareo
PAR000109,6.5,1.9,2.26,7,15,92,1334,276,24.9,1.85,18.0,20.8,40.4,26.4,15.0,10.0,22.8,47,24.3,0,252,19.6,-4.2,22.2,1658,1157,0.51,O,calcareo
PAR000110,5.5,4.3,2.55,32,23,262,667,127,8.6,0.73,15.7,0.0,32.6,12.1,5.0,27.3,20.2,94,3.1,260,713,18.3,7.5,25.9,1500,611,1.05,S,arcilloso
PAR000111,9.0,1.2,1.76,2,6,92,305,279,15.1,1.17,26.1,19.4,41.6,18.7,29.0,5.0,31.1,50,31.9,632,150,20.0,3.4,31.9,1564,1159,0.49,O,arcilloso
PAR000112,7.3,1.1,1.63,6,21,99,388,55,18.3,1.25,12.6,12.4,23.1,26.0,37.8,17.6,44.0,77,3.5,401,413,18.3,-0.6,30.3,1877,1225,0.58,O,arcilloso
PAR000113,6.1,5.9,1.44,27,43,171,3273,190,16.7,0.1,17.3,3.8,13.7,63.1,26.4,43.6,49.8,101,0.0,901,999,13.8,7.4,34.2,2037,842,1.35,S,arenoso
PAR000114,9.0,1.5,2.05,7,7,110,1014,140,28.4,1.27,18.0,22.8,46.7,49.6,7.3,18.5,37.6,15,15.7,0,150,21.7,-2.6,30.7,1726,836,0.6,S,calcareo
PAR000115,8.2,1.1,1.7,14,15,112,300,209,37.9,1.63,18.9,20.8,39.5,30.6,25.3,6.2,36.9,107,27.4,60,150,20.3,-3.1,32.3,1499,1236,0.28,E,arcilloso
PAR000116,8.6,0.3,1.23,13,9,62,1563,159,19.2,1.4,15.1,13.5,30.9,13.2,13.8,5.0,34.0,26,19.1,0,295,16.9,-3.5,36.2,1472,1335,0.1,S,franco
PAR000117,5.3,4.3,1.09,33,37,257,3772,344,9.3,1.25,20.6,0.0,7.2,66.4,17.0,35.8,31.3,123,1.9,703,961,9.7,8.8,37.2,2089,677,0.89,N,arenoso
PAR000118,6.1,5.0,1.66,32,32,234,300,208,9.3,0.72,19.2,2.2,20.4,23.8,5.0,37.6,28.9,39,0.0,28,745,19.7,10.3,24.4,1749,751,0.92,N,franco
PAR000119,7.1,1.3,1.17,13,17,161,300,131,23.6,2.57,22.3,7.3,22.9,28.1,31.4,20.2,34.2,96,13.3,542,434,21.0,-2.4,38.5,2085,1028,0.47,O,franco
PAR000120,8.1,0.3,2.02,4,2,110,662,256,12.4,1.59,28.7,22.7,45.3,32.2,26.4,13.9,39.8,28,18.4,209,280,19.8,-3.7,26.8,1472,1073,0.1,E,arcilloso
PAR000121,6.6,5.3,0.93,29,29,309,2850,396,16.0,0.78,28.6,1.8,7.3,45.0,30.8,33.9,49.9,100,0.0,1058,775,14.9,5.1,32.0,2183,698,1.07,E,arenoso
PAR000122,5.6,3.8,2.16,41,25,191,708,258,12.9,0.1,9.4,0.0,27.1,43.2,5.0,35.1,30.0,89,12.1,469,1020,21.4,3.8,29.9,1430,878,0.87,S,franco
PAR000123,7.6,1.2,1.06,14,10,105,1838,197,25.7,2.17,21.9,20.5,36.7,41.1,20.1,12.1,42.2,46,25.5,251,361,19.4,-3.6,30.0,1346,1194,0.21,S,calcareo
PAR000124,5.4,2.4,1.97,23,38,278,1089,173,7.6,1.01,16.5,0.0,36.4,24.1,5.0,27.4,42.1,33,8.9,647,1125,16.8,-0.3,27.6,1692,685,1.01,O,franco
PAR000125,5.2,4.4,2.41,41,30,256,300,295,17.9,0.33,10.1,4.1,38.3,43.0,5.0,28.2,25.6,98,5.2,0,622,14.9,2.7,33.8,1171,836,0.48,S,arenoso
PAR000126,5.7,4.9,1.46,41,42,249,2188,417,16.8,0.39,15.1,8.8,3.0,60.1,34.3,33.7,23.8,102,12.5,1368,828,8.3,8.8,39.5,1746,861,0.95,O,arcilloso
PAR000127,6.5,4.5,1.18,37,36,245,2089,321,7.1,0.41,23.4,0.0,4.1,80.2,37.9,36.2,53.6,147,0.0,1395,717,13.6,5.6,34.3,2081,820,0.89,E,arenoso
PAR000128,6.9,5.5,2.0,37,32,289,1970,360,16.9,0.43,18.1,2.3,12.4,63.7,43.6,41.6,33.6,92,0.0,592,904,10.8,9.0,30.2,1972,756,1.15,E,franco
PAR000129,7.8,0.4,2.17,7,18,146,1452,180,30.0,1.46,16.9,15.8,43.4,9.5,27.6,8.0,48.5,34,9.2,97,388,20.1,2.0,31.5,1445,1018,0.39,N,franco
PAR000130,6.8,1.8,1.36,17,7,154,655,40,14.7,1.24,26.7,22.6,32.6,55.7,44.4,22.4,43.6,64,3.7,0,798,14.8,4.0,37.1,1885,976,0.73,E,arenoso
